date,time,open,high,low,close,volume
20180430,15:30:00,20.34,20.41,20.34,20.41,3
20180430,15:40:00,20.31,20.33,20.31,20.33,14
20180430,15:50:00,20.37,20.39,20.35,20.37,65
20180430,16:00:00,20.34,20.34,20.32,20.33,20
20180430,16:10:00,20.34,20.37,20.33,20.37,20
20180430,16:20:00,20.42,20.42,20.42,20.42,24
20180430,16:30:00,20.36,20.37,20.35,20.36,37
20180430,16:40:00,20.36,20.36,20.35,20.35,48
20180430,16:50:00,20.34,20.36,20.34,20.36,30
20180430,17:00:00,20.36,20.36,20.32,20.32,34
20180430,17:10:00,20.32,20.32,20.31,20.31,55
20180430,17:20:00,20.28,20.28,20.23,20.23,36
20180430,17:30:00,20.27,20.34,20.27,20.34,47
20180430,17:40:00,20.35,20.42,20.35,20.41,15
20180430,17:50:00,20.43,20.45,20.4,20.4,42
20180430,18:00:00,20.42,20.47,20.42,20.46,82
20180430,18:10:00,20.49,20.53,20.49,20.53,99
20180430,18:20:00,20.42,20.42,20.4,20.4,4
20180430,18:30:00,20.4,20.4,20.39,20.39,31
20180430,18:40:00,20.39,20.41,20.39,20.41,5
20180430,18:50:00,20.41,20.51,20.41,20.45,139
20180430,19:00:00,20.4,20.4,20.4,20.4,9
20180430,19:10:00,20.42,20.43,20.4,20.4,46
20180430,19:20:00,20.4,20.41,20.28,20.28,51
20180430,19:30:00,20.28,20.28,20.28,20.28,0
20180430,19:40:00,20.25,20.25,20.23,20.23,31
20180430,19:50:00,20.26,20.26,20.25,20.25,9
20180430,20:00:00,20.24,20.36,20.24,20.36,22
20180430,20:10:00,20.38,20.39,20.34,20.34,42
20180430,20:20:00,20.34,20.34,20.31,20.31,29
20180430,20:30:00,20.31,20.31,20.31,20.31,0
20180430,20:40:00,20.34,20.35,20.32,20.32,36
20180430,20:50:00,20.31,20.34,20.31,20.34,5
20180430,21:00:00,20.34,20.34,20.34,20.34,0
20180430,21:10:00,20.37,20.38,20.33,20.33,47
20180430,21:20:00,20.45,20.52,20.45,20.48,74
20180430,21:30:00,20.47,20.47,20.41,20.41,7
20180430,21:40:00,20.44,20.44,20.41,20.41,35
20180430,21:50:00,20.41,20.51,20.41,20.49,84
20180501,15:30:00,20.63,20.65,20.63,20.65,6
20180501,15:40:00,20.6,20.6,20.57,20.57,4
20180501,15:50:00,20.53,20.53,20.53,20.53,1
20180501,16:00:00,20.48,20.49,20.48,20.49,21
20180501,16:10:00,20.49,20.49,20.49,20.49,0
20180501,16:20:00,20.45,20.45,20.4,20.42,10
20180501,16:30:00,20.42,20.42,20.42,20.42,0
20180501,16:40:00,20.5,20.5,20.44,20.48,20
20180501,16:50:00,20.48,20.48,20.48,20.48,0
20180501,17:00:00,20.55,20.55,20.55,20.55,2
20180501,17:10:00,20.57,20.58,20.57,20.58,16
20180501,17:20:00,20.53,20.55,20.53,20.54,43
20180501,17:30:00,20.56,20.56,20.54,20.54,32
20180501,17:40:00,20.54,20.55,20.53,20.55,5
20180501,17:50:00,20.57,20.63,20.57,20.63,16
20180501,18:00:00,20.63,20.63,20.6,20.6,81
20180501,18:10:00,20.59,20.6,20.58,20.59,33
20180501,18:20:00,20.6,20.6,20.54,20.54,11
20180501,18:30:00,20.54,20.54,20.54,20.54,0
20180501,18:40:00,20.55,20.57,20.55,20.57,7
20180501,18:50:00,20.57,20.57,20.57,20.57,0
20180501,19:00:00,20.58,20.63,20.58,20.62,8
20180501,19:10:00,20.62,20.62,20.6,20.6,77
20180501,19:20:00,20.6,20.61,20.6,20.6,3
20180501,19:30:00,20.59,20.59,20.57,20.57,10
20180501,19:40:00,20.57,20.57,20.51,20.52,50
20180501,19:50:00,20.47,20.47,20.46,20.46,2
20180501,20:00:00,20.45,20.45,20.41,20.43,17
20180501,20:10:00,20.43,20.43,20.4,20.4,5
20180501,20:20:00,20.36,20.36,20.36,20.36,6
20180501,20:30:00,20.36,20.36,20.36,20.36,1
20180501,20:40:00,20.4,20.4,20.28,20.28,10
20180501,20:50:00,20.32,20.32,20.32,20.32,1
20180501,21:00:00,20.33,20.33,20.31,20.32,14
20180501,21:10:00,20.31,20.34,20.31,20.34,10
20180501,21:20:00,20.36,20.36,20.35,20.35,3
20180501,21:30:00,20.32,20.35,20.32,20.35,34
20180501,21:40:00,20.34,20.34,20.26,20.27,10
20180501,21:50:00,20.25,20.27,20.22,20.25,57
20180502,15:30:00,20.11,20.14,20.11,20.13,89
20180502,15:40:00,20.17,20.17,20.08,20.1,32
20180502,15:50:00,20.1,20.1,20.1,20.1,5
20180502,16:00:00,20.14,20.14,20.1,20.11,50
20180502,16:10:00,20.11,20.12,20.1,20.12,19
20180502,16:20:00,20.12,20.17,20.12,20.17,26
20180502,16:30:00,20.17,20.17,20.17,20.17,0
20180502,16:40:00,20.18,20.22,20.16,20.16,44
20180502,16:50:00,20.15,20.16,20.14,20.15,28
20180502,17:00:00,20.15,20.16,20.15,20.16,9
20180502,17:10:00,20.11,20.11,20.03,20.03,86
20180502,17:20:00,20.03,20.03,20.03,20.03,4
20180502,17:30:00,20.08,20.08,20.07,20.07,19
20180502,17:40:00,20.07,20.13,20.07,20.13,12
20180502,17:50:00,20.16,20.16,20.12,20.12,42
20180502,18:00:00,20.13,20.13,20.11,20.12,2
20180502,18:10:00,20.04,20.04,20.04,20.04,2
20180502,18:20:00,20.02,20.05,19.98,20.0,125
20180502,18:30:00,20.01,20.03,19.99,20.01,15
20180502,18:40:00,20.01,20.03,19.99,20.03,37
20180502,18:50:00,20.0,20.0,20.0,20.0,5
20180502,19:00:00,19.96,19.96,19.96,19.96,14
20180502,19:10:00,19.95,19.95,19.94,19.95,26
20180502,19:20:00,19.94,19.95,19.92,19.94,60
