date,time,open,high,low,close,volume
20090128,-,41.63,41.91,40.63,41.2,0
20090129,-,41.64,43.03,41.21,42.06,0
20090130,-,42.42,44.28,41.27,43.72,0
20090202,-,45.96,48.25,45.96,46.31,0
20090203,-,45.85,46.79,44.11,44.5,0
20090204,-,43.67,43.75,41.05,41.28,0
20090205,-,42.39,44.01,41.18,41.42,0
20090206,-,40.88,41.7,39.48,40.27,0
20090209,-,41.56,42.24,40.78,40.88,0
20090210,-,41.46,43.84,41.36,43.19,0
20090211,-,44.35,44.44,42.73,42.81,0
20090212,-,43.41,44.72,43.18,43.36,0
20090213,-,41.96,42.72,40.96,41.2,0
20090216,-,42.54,43.46,42.07,43.3,0
20090217,-,45.21,46.24,44.6,45.46,0
20090218,-,45.78,48.12,45.34,46.15,0
20090219,-,45.16,45.68,44.49,44.64,0
20090220,-,46.09,48.67,46.09,48.34,0
20090223,-,47.76,50.76,45.99,49.56,0
20090224,-,50.67,51.8,49.01,49.18,0
20090225,-,47.34,48.24,46.29,46.33,0
20090226,-,45.06,45.13,41.57,42.4,0
20090227,-,42.65,44.03,41.82,42.01,0
20090302,-,44.74,47.48,44.69,47.48,0
20090303,-,46.82,47.35,45.76,47.06,0
20090304,-,45.24,46.04,43.74,43.74,0
20090305,-,43.68,45.59,43.11,45.59,0
20090306,-,45.83,47.56,45.36,47.48,0
20090309,-,48.23,49.1,45.31,45.34,0
20090310,-,44.22,44.22,42.16,42.73,0
20090311,-,42.54,42.94,41.43,42.49,0
20090312,-,43.1,44.47,43.03,43.2,0
20090313,-,42.08,42.26,40.68,42.03,0
20090316,-,42.26,43.97,42.12,42.45,0
20090317,-,42.74,43.16,42.06,42.06,0
20090318,-,41.18,42.74,41.16,41.8,0
20090319,-,41.17,41.93,40.3,41.78,0
20090320,-,42.27,42.86,41.15,41.86,0
20090323,-,42.14,42.21,40.22,40.38,0
20090324,-,39.92,40.23,38.68,38.73,0
20090325,-,38.54,38.92,37.64,38.02,0
20090326,-,37.69,38.05,37.22,37.32,0
20090327,-,36.96,37.74,36.35,37.25,0
