date,time,open,high,low,close,volume
20130612,15:30:00,85.68,86.56,85.56,86.56,63
20130612,16:00:00,86.56,87.6,86.0,87.48,79
20130612,17:00:00,87.48,88.56,87.0,88.4,74
20130612,18:00:00,88.4,88.68,88.16,88.2,42
20130612,19:00:00,87.88,88.16,87.56,87.96,34
20130612,20:00:00,88.16,88.72,88.08,88.52,64
20130612,21:00:00,88.64,89.6,88.64,89.2,291
20130613,15:30:00,88.72,89.0,88.32,88.36,140
20130613,16:00:00,88.36,88.64,87.84,88.32,195
20130613,17:00:00,88.08,88.68,88.0,88.44,41
20130613,18:00:00,88.4,88.8,87.96,87.96,341
20130613,19:00:00,87.84,88.56,87.72,88.4,108
20130613,20:00:00,88.32,88.4,87.88,88.08,153
20130613,21:00:00,88.12,88.12,87.0,87.64,486
20130614,15:30:00,87.92,88.16,87.32,87.32,105
20130614,16:00:00,87.0,88.32,86.8,88.2,93
20130614,17:00:00,88.36,88.92,87.84,88.52,160
20130614,18:00:00,88.76,89.16,88.44,89.0,36
20130614,19:00:00,89.12,89.52,89.04,89.2,204
20130614,20:00:00,89.16,89.32,88.52,89.2,58
20130614,21:00:00,89.08,89.6,88.44,89.6,167
20130617,15:30:00,88.16,88.56,88.12,88.56,84
20130617,16:00:00,88.68,88.76,88.0,88.0,198
20130617,17:00:00,88.0,88.28,87.96,88.28,18
20130617,18:00:00,88.2,88.52,88.16,88.24,90
20130617,19:00:00,88.28,88.44,88.24,88.44,42
20130617,20:00:00,88.44,89.48,88.44,88.84,130
20130617,21:00:00,88.92,89.04,88.36,88.76,170
20130618,15:30:00,88.6,88.84,88.32,88.72,113
20130618,16:00:00,88.8,88.8,88.04,88.24,145
20130618,17:00:00,88.36,88.44,88.0,88.24,342
20130618,18:00:00,88.28,88.52,88.12,88.12,111
20130618,19:00:00,88.16,88.52,88.16,88.28,294
20130618,20:00:00,88.32,88.36,88.04,88.12,29
20130618,21:00:00,88.16,88.68,88.16,88.52,142
20130619,15:30:00,88.84,89.24,88.84,88.92,150
20130619,16:00:00,88.92,89.08,88.24,88.24,405
20130619,17:00:00,88.32,88.36,87.28,87.6,66
20130619,18:00:00,87.64,87.68,87.16,87.16,147
20130619,19:00:00,87.16,87.24,86.6,86.6,52
20130619,20:00:00,86.8,87.92,85.56,87.92,482
20130619,21:00:00,88.04,88.4,87.08,88.24,652
20130620,15:30:00,90.6,91.36,89.96,90.16,461
20130620,16:00:00,89.92,91.56,89.92,90.76,487
20130620,17:00:00,90.72,91.96,90.6,90.8,589
20130620,18:00:00,90.6,91.32,90.4,91.28,165
20130620,19:00:00,91.32,91.68,90.88,90.88,62
20130620,20:00:00,91.0,93.2,90.92,92.92,374
20130620,21:00:00,92.8,93.88,92.0,92.32,709
20130621,15:30:00,89.96,90.76,89.6,90.76,237
20130621,16:00:00,90.8,93.32,90.36,92.28,726
20130621,17:00:00,92.2,93.44,91.76,92.96,534
20130621,18:00:00,92.36,93.04,90.96,91.32,215
20130621,19:00:00,91.28,91.64,90.64,91.4,406
20130621,20:00:00,91.44,91.52,90.6,90.64,121
20130621,21:00:00,90.68,91.2,90.12,90.84,302
20130624,15:30:00,94.16,95.28,93.88,94.56,174
20130624,16:00:00,94.56,95.0,93.08,93.6,387
20130624,17:00:00,93.6,94.56,93.4,93.76,266
20130624,18:00:00,93.68,94.64,93.4,93.64,138
20130624,19:00:00,93.52,94.12,93.32,93.84,479
20130624,20:00:00,93.68,93.92,92.84,93.56,507
20130624,21:00:00,93.6,94.88,93.36,94.76,440
20130625,15:30:00,91.88,94.08,91.88,93.6,134
20130625,16:00:00,93.72,94.04,93.04,93.24,343
20130625,17:00:00,93.24,94.4,93.04,94.16,311
20130625,18:00:00,94.2,94.28,93.8,94.2,102
20130625,19:00:00,94.24,94.68,94.0,94.32,27
20130625,20:00:00,94.24,94.6,94.2,94.52,38
20130625,21:00:00,94.6,94.68,93.76,94.0,185
20130626,15:30:00,93.28,93.72,93.0,93.36,97
20130626,16:00:00,93.24,94.28,93.04,94.08,161
20130626,17:00:00,94.2,94.56,93.84,94.0,185
20130626,18:00:00,93.8,93.96,93.72,93.76,30
20130626,19:00:00,93.88,93.96,93.4,93.72,62
20130626,20:00:00,93.72,93.92,93.56,93.88,191
20130626,21:00:00,93.88,94.12,93.48,93.76,338
20130627,15:30:00,93.0,93.44,92.76,93.12,102
20130627,16:00:00,93.08,93.52,92.6,92.72,432
20130627,17:00:00,92.72,93.0,92.56,92.68,261
20130627,18:00:00,92.76,93.16,92.72,92.8,103
20130627,19:00:00,92.92,92.92,92.12,92.44,65
20130627,20:00:00,92.44,92.48,92.04,92.08,150
20130627,21:00:00,92.2,92.48,92.08,92.2,233
20130628,15:30:00,93.16,93.44,92.8,93.44,129
20130628,16:00:00,93.32,93.52,91.56,91.64,110
20130628,17:00:00,91.76,92.04,91.12,91.2,124
20130628,18:00:00,91.2,92.0,91.2,91.44,22
20130628,19:00:00,91.52,91.72,91.08,91.08,28
20130628,20:00:00,91.12,91.68,91.04,91.56,86
20130628,21:00:00,91.6,92.16,91.44,92.12,224
20130701,15:30:00,91.2,91.64,90.4,90.52,62
20130701,16:00:00,90.4,90.4,89.76,90.08,117
20130701,17:00:00,90.2,90.24,89.72,89.84,124
20130701,18:00:00,89.8,90.12,89.68,89.92,129
20130701,19:00:00,89.92,90.08,89.72,90.08,69
20130701,20:00:00,90.04,90.36,89.88,90.16,148
20130701,21:00:00,90.04,90.48,89.72,90.12,217
20130702,15:30:00,90.72,91.0,90.0,90.2,166
20130702,16:00:00,90.2,90.48,89.8,90.12,297
20130702,17:00:00,89.92,90.08,89.84,89.84,41
20130702,18:00:00,89.96,90.32,89.88,90.24,6
20130702,19:00:00,90.4,90.72,90.16,90.56,10
20130702,20:00:00,90.92,91.68,90.92,91.36,47
20130702,21:00:00,91.52,91.64,90.96,91.32,73
20130703,15:30:00,92.16,92.2,91.2,91.4,25
20130703,16:00:00,91.44,91.76,91.0,91.24,142
20130703,17:00:00,91.0,91.08,90.44,90.56,27
20130703,18:00:00,90.48,91.24,90.4,91.08,13
20130705,15:30:00,90.28,90.4,89.68,90.0,87
20130705,16:00:00,90.28,90.8,90.28,90.32,50
20130705,17:00:00,90.16,90.44,89.76,89.84,25
20130705,18:00:00,89.76,89.84,89.48,89.64,140
20130705,19:00:00,89.72,89.76,89.4,89.76,13
20130705,20:00:00,89.8,89.8,89.32,89.56,33
