date,time,open,high,low,close,volume
20180430,15:30:00,41.06,41.07,40.63,40.86,7349
20180430,15:35:00,40.87,40.87,40.65,40.82,5401
20180430,15:40:00,40.81,40.82,40.52,40.59,6354
20180430,15:45:00,40.59,40.74,40.51,40.72,4410
20180430,15:50:00,40.71,40.75,40.63,40.66,2114
20180430,15:55:00,40.67,40.72,40.58,40.7,2310
20180430,16:00:00,40.72,40.74,40.5,40.59,3342
20180430,16:05:00,40.58,40.64,40.5,40.54,1679
20180430,16:10:00,40.54,40.61,40.51,40.57,1558
20180430,16:15:00,40.57,40.73,40.55,40.73,3134
20180430,16:20:00,40.72,40.99,40.72,40.98,3524
20180430,16:25:00,40.98,41.07,40.68,40.69,3029
20180430,16:30:00,40.69,40.71,40.52,40.54,3480
20180430,16:35:00,40.55,40.71,40.55,40.6,2259
20180430,16:40:00,40.6,40.65,40.48,40.53,2760
20180430,16:45:00,40.53,40.71,40.5,40.54,5525
20180430,16:50:00,40.55,40.59,40.49,40.51,2736
20180430,16:55:00,40.5,40.62,40.49,40.59,2085
20180430,17:00:00,40.59,40.59,40.4,40.41,3886
20180430,17:05:00,40.41,40.5,40.36,40.43,3377
20180430,17:10:00,40.44,40.5,40.31,40.35,3750
20180430,17:15:00,40.35,40.46,40.33,40.42,2553
20180430,17:20:00,40.42,40.5,40.32,40.36,3355
20180430,17:25:00,40.36,40.46,40.34,40.38,2383
20180430,17:30:00,40.39,40.65,40.38,40.58,4194
20180430,17:35:00,40.59,40.68,40.53,40.67,6039
20180430,17:40:00,40.67,40.82,40.66,40.73,3723
20180430,17:45:00,40.73,41.1,40.68,41.09,6884
20180430,17:50:00,41.09,41.24,41.02,41.23,5364
20180430,17:55:00,41.23,41.31,41.04,41.06,3941
20180430,18:00:00,41.07,41.16,41.01,41.11,2573
20180430,18:05:00,41.1,41.4,41.08,41.36,3786
20180430,18:10:00,41.36,41.62,41.35,41.59,4925
20180430,18:15:00,41.6,41.79,41.55,41.56,6609
20180430,18:20:00,41.56,41.59,41.38,41.41,2909
20180430,18:25:00,41.41,41.48,41.15,41.17,3898
20180430,18:30:00,41.18,41.28,41.16,41.2,2576
20180430,18:35:00,41.2,41.23,41.1,41.19,1965
20180430,18:40:00,41.19,41.19,41.05,41.12,2088
