Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2018-01-22,V (Oct 2018),0.0000,16.0000,16.0000,0.0000,15.8500,0,0,0,0
2018-01-23,V (Oct 2018),15.8500,16.0500,15.8500,16.0500,15.9750,0.1250,46,0,42
2018-01-24,V (Oct 2018),16.0000,16.2000,16.0000,16.1500,16.1000,0.1250,124,0,156
2018-01-25,V (Oct 2018),16.1000,16.1500,15.9500,16.0400,16.1250,0.0250,6,0,159
2018-01-26,V (Oct 2018),16.0500,16.0600,15.8000,16.0500,16.0500,-0.0750,29,0,179
2018-01-29,V (Oct 2018),16.1200,16.3500,16.1200,16.2900,16.2750,0.2250,52,0,216
2018-01-30,V (Oct 2018),16.4000,16.6500,16.3500,16.3900,16.4000,0.1250,71,0,277
2018-01-31,V (Oct 2018),16.1500,16.3100,15.1000,16.3100,16.2250,-0.1750,17,0,287
2018-02-01,V (Oct 2018),16.1500,16.2700,15.9500,16.0600,16.1000,-0.1250,403,0,568
2018-02-02,V (Oct 2018),16.2000,16.6000,16.2000,16.6000,16.4500,0.3500,240,0,731
2018-02-05,V (Oct 2018),16.7500,19.8000,16.3300,19.2500,18.9750,2.5250,418,0,997
2018-02-06,V (Oct 2018),19.0000,29.9500,18.0000,18.0000,18.6500,-0.3250,247,0,1044
2018-02-07,V (Oct 2018),18.6500,18.6500,17.6000,18.1900,18.1750,-0.4750,57,0,1069
2018-02-08,V (Oct 2018),18.1500,19.3300,18.0100,18.8900,18.9000,0.7250,502,0,1288
2018-02-09,V (Oct 2018),19.1800,19.8000,18.1600,18.1600,18.2000,-0.7000,254,0,1404
2018-02-12,V (Oct 2018),18.0500,18.4700,17.9500,18.3300,18.3750,0.1750,108,0,1429
2018-02-13,V (Oct 2018),18.3400,18.8500,18.3400,18.4500,18.6500,0.2750,320,0,1512
2018-02-14,V (Oct 2018),18.4900,18.8500,17.9900,18.0700,18.0750,-0.5750,715,0,1806
2018-02-15,V (Oct 2018),18.1500,18.1500,17.6500,17.6500,17.6750,-0.4000,706,0,2197
2018-02-16,V (Oct 2018),17.7000,17.8000,17.4800,17.6500,17.6500,-0.0250,824,0,2713
2018-02-20,V (Oct 2018),17.5500,18.0200,17.5000,17.8000,17.7750,0.1250,457,0,2868
2018-02-21,V (Oct 2018),17.7500,18.1000,17.4800,17.9800,17.9250,0.1500,1535,0,3505
2018-02-22,V (Oct 2018),18.0500,18.2000,17.6900,17.7200,17.6750,-0.2500,425,0,3604
2018-02-23,V (Oct 2018),17.7500,17.8000,17.2300,17.2300,17.3250,-0.3500,546,0,3729
2018-02-26,V (Oct 2018),17.2600,17.3000,17.0000,17.0000,17.0500,-0.2750,742,0,3924
2018-02-27,V (Oct 2018),16.9500,17.8000,16.9500,17.5500,17.5500,0.5000,685,0,4170
2018-02-28,V (Oct 2018),17.5500,17.9500,17.4500,17.8700,17.8250,0.2750,767,0,4356
2018-03-01,V (Oct 2018),17.9500,18.7200,17.8200,18.3300,18.3000,0.4750,942,0,4552
2018-03-02,V (Oct 2018),18.3000,18.9000,18.1600,18.2700,18.2750,-0.0250,861,0,4764
2018-03-05,V (Oct 2018),18.4500,18.5500,17.9300,17.9800,17.9500,-0.3250,456,0,4908
2018-03-06,V (Oct 2018),17.8300,18.3000,17.8300,18.1600,18.2000,0.2500,358,0,5009
2018-03-07,V (Oct 2018),18.4500,18.7000,18.2000,18.3000,18.2750,0.0750,269,0,5085
2018-03-08,V (Oct 2018),18.3500,18.3500,18.0000,18.1100,18.1250,-0.1500,785,0,5226
2018-03-09,V (Oct 2018),18.1300,18.2100,17.5000,17.5500,17.6000,-0.5250,721,0,5361
2018-03-12,V (Oct 2018),17.4800,17.9000,17.4800,17.7900,17.8250,0.2250,1036,0,5876
2018-03-13,V (Oct 2018),17.8000,18.1500,17.7200,18.1000,18.0750,0.2500,1039,0,6539
2018-03-14,V (Oct 2018),18.1300,18.4000,17.8500,18.2500,18.2750,0.2000,1000,0,7001
2018-03-15,V (Oct 2018),18.2500,18.3700,17.9600,17.9900,18.0500,-0.2250,1319,0,7612
2018-03-16,V (Oct 2018),18.0000,18.0800,17.8300,17.9500,17.9250,-0.1250,819,0,7817
2018-03-19,V (Oct 2018),18.0000,18.6000,18.0000,18.1500,18.1500,0.2250,980,0,8130
2018-03-20,V (Oct 2018),18.2000,18.4500,18.1000,18.2600,18.2750,0.1250,844,0,8353
2018-03-21,V (Oct 2018),18.3000,18.3700,17.8000,18.1800,18.1750,-0.1000,2407,0,9060
2018-03-22,V (Oct 2018),18.2000,18.8200,18.0500,18.5800,18.5750,0.4000,2432,0,9825
2018-03-23,V (Oct 2018),18.5500,19.1500,18.3200,18.9500,19.0750,0.5000,4431,0,11349
2018-03-26,V (Oct 2018),19.0800,19.0800,18.5500,18.7000,18.7000,-0.3750,1272,0,11632
2018-03-27,V (Oct 2018),18.6600,19.5200,18.5800,19.3800,19.3500,0.6500,2694,0,12566
2018-03-28,V (Oct 2018),19.4000,19.9700,19.1800,19.7500,19.7750,0.4250,3065,0,13660
2018-03-29,V (Oct 2018),19.7000,19.8000,19.1100,19.3200,19.3000,-0.4750,999,0,13702
2018-04-02,V (Oct 2018),19.2500,20.0700,19.2500,19.5300,19.6250,0.3250,1569,0,14080
2018-04-03,V (Oct 2018),19.5300,19.8600,19.3300,19.4900,19.4500,-0.1750,2977,0,15298
2018-04-04,V (Oct 2018),19.5500,20.0500,19.2800,19.3500,19.3250,-0.1250,2960,0,16369
2018-04-05,V (Oct 2018),19.3500,19.5000,19.1400,19.1600,19.1750,-0.1500,4824,0,18130
2018-04-06,V (Oct 2018),19.1500,20.1200,19.1400,19.6700,19.6750,0.5000,1979,0,18148
2018-04-09,V (Oct 2018),19.7500,19.8200,19.3800,19.8200,19.7750,0.1000,2169,0,18990
2018-04-10,V (Oct 2018),19.8500,19.9000,19.4300,19.6200,19.6250,-0.1500,1463,0,19491
2018-04-11,V (Oct 2018),19.6200,19.9400,19.6000,19.8500,19.8250,0.2000,2535,0,20516
2018-04-12,V (Oct 2018),19.8000,19.8500,19.3000,19.3800,19.3250,-0.5000,1567,0,20413
2018-04-13,V (Oct 2018),19.3500,19.5000,19.0500,19.0700,19.0750,-0.2500,3070,0,21025
2018-04-16,V (Oct 2018),18.8700,19.0200,18.6500,18.7500,18.7500,-0.3250,1847,0,21591
2018-04-17,V (Oct 2018),18.8000,18.8000,18.2500,18.3700,18.3750,-0.3750,4035,0,22705
2018-04-18,V (Oct 2018),18.4000,18.6300,18.0000,18.1200,18.1250,-0.2500,4390,0,23998
2018-04-19,V (Oct 2018),18.1000,18.4000,18.0600,18.1300,18.1750,0.0500,2408,0,24319
2018-04-20,V (Oct 2018),18.1400,18.3800,18.0800,18.2800,18.2750,0.1000,2484,0,24811
2018-04-23,V (Oct 2018),18.2000,18.4000,17.9600,18.2500,18.2250,-0.0500,1606,0,25023
2018-04-24,V (Oct 2018),18.2500,18.9000,18.0000,18.2700,18.2750,0.0500,3707,0,25269
2018-04-25,V (Oct 2018),18.2500,18.7000,18.2000,18.4700,18.5500,0.2750,3489,0,26157
2018-04-26,V (Oct 2018),18.4500,18.5600,18.0700,18.1100,18.1250,-0.4250,1799,0,26397
2018-04-27,V (Oct 2018),18.1000,18.3100,18.0300,18.0500,18.0750,-0.0500,1650,0,26380
