Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2018-05-21,G (Feb 2019),17.4000,17.4000,17.4000,17.4000,17.4250,0,2,0,4
2018-05-22,G (Feb 2019),17.3500,17.4700,17.2500,17.4500,17.4500,0.0250,96,0,101
2018-05-23,G (Feb 2019),17.6500,17.7000,17.2300,17.2300,17.3000,-0.1500,54,0,120
2018-05-24,G (Feb 2019),17.5000,17.5000,17.4500,17.4900,17.3500,0.0500,2,0,120
2018-05-25,G (Feb 2019),17.4900,17.4900,17.3500,17.4500,17.3750,0.0250,18,0,145
2018-05-29,G (Feb 2019),17.6000,17.7700,17.4500,17.4500,17.5750,0.2000,81,0,223
2018-05-30,G (Feb 2019),17.4600,17.6500,17.4100,17.6500,17.6250,0.0500,43,0,205
2018-05-31,G (Feb 2019),17.7000,17.7600,17.6100,17.7000,17.6500,0.0250,124,0,362
2018-06-01,G (Feb 2019),17.4000,17.5500,17.3800,17.4000,17.3750,-0.2750,61,0,404
2018-06-04,G (Feb 2019),17.2100,17.2100,17.1600,17.1600,17.0500,-0.3250,129,0,452
2018-06-05,G (Feb 2019),17.9000,17.9000,16.9000,16.9200,16.9250,-0.1250,241,0,684
2018-06-06,G (Feb 2019),16.9100,16.9100,16.3000,16.6600,16.7000,-0.2250,207,0,880
2018-06-07,G (Feb 2019),16.7000,16.9000,16.6600,16.8600,16.7250,0.0250,17,0,881
2018-06-08,G (Feb 2019),16.8000,16.8500,16.4500,16.7500,16.8250,0.1000,16,0,884
2018-06-11,G (Feb 2019),17.1000,17.1000,16.5500,16.7000,16.7750,-0.0500,10,0,890
2018-06-12,G (Feb 2019),16.7500,16.8200,16.7000,16.7800,16.8000,0.0250,40,0,908
2018-06-13,G (Feb 2019),16.6500,16.9000,16.6000,16.9000,16.8750,0.0750,132,0,995
2018-06-14,G (Feb 2019),16.8900,16.9000,16.5000,16.7000,16.7500,-0.1250,92,0,1068
2018-06-15,G (Feb 2019),16.7900,16.8500,16.7000,16.7500,16.7500,0.0000,92,0,1126
2018-06-18,G (Feb 2019),16.8700,16.9600,16.6700,16.7100,16.6750,-0.0750,68,0,1164
2018-06-19,G (Feb 2019),16.7900,17.2500,16.7000,16.9700,16.9500,0.2750,135,0,1244
2018-06-20,G (Feb 2019),16.9000,16.9700,16.6700,16.9100,16.9250,-0.0250,387,0,1372
2018-06-21,G (Feb 2019),16.9500,17.3100,16.8500,17.1900,17.2000,0.2750,437,0,1446
2018-06-22,G (Feb 2019),17.0000,17.1800,16.9000,17.1500,17.1500,-0.0500,296,0,1528
2018-06-25,G (Feb 2019),17.2000,17.8700,17.1700,17.6200,17.6000,0.4500,469,0,1760
2018-06-26,G (Feb 2019),17.6000,17.6700,17.4700,17.6000,17.6000,0.0000,445,0,1935
2018-06-27,G (Feb 2019),17.7300,18.0000,17.3500,17.9800,17.9750,0.3750,349,0,2077
2018-06-28,G (Feb 2019),17.9000,18.2000,17.7000,17.7000,17.6750,-0.3000,535,0,2356
2018-06-29,G (Feb 2019),17.7000,17.7000,17.4000,17.7000,17.6500,-0.0250,781,0,2554
2018-07-02,G (Feb 2019),17.8200,18.1000,17.6500,17.7000,17.7000,0.0500,497,0,2779
2018-07-03,G (Feb 2019),17.7000,17.9300,17.5500,17.9000,17.9000,0.2000,276,0,2857
2018-07-05,G (Feb 2019),17.8700,17.9100,17.5600,17.6300,17.6250,-0.2750,336,0,2939
2018-07-06,G (Feb 2019),17.6600,17.7200,17.3000,17.3100,17.3250,-0.3000,440,0,3035
2018-07-09,G (Feb 2019),17.2100,17.2100,16.7100,16.7100,16.7500,-0.5750,292,0,3091
2018-07-10,G (Feb 2019),16.7200,16.7300,16.5500,16.6900,16.6250,-0.1250,460,0,3279
2018-07-11,G (Feb 2019),16.7500,16.9800,16.6800,16.8200,16.8500,0.2250,676,0,3456
2018-07-12,G (Feb 2019),16.7800,16.7800,16.4600,16.5300,16.5750,-0.2750,908,0,3829
2018-07-13,G (Feb 2019),16.5000,16.6500,16.4500,16.5000,16.4750,-0.1000,679,0,4168
2018-07-16,G (Feb 2019),16.4000,16.6500,16.4000,16.5500,16.5500,0.0750,533,0,4411
2018-07-17,G (Feb 2019),16.5500,16.7000,16.4700,16.6300,16.6250,0.0750,1281,0,5004
2018-07-18,G (Feb 2019),16.6000,16.7500,16.5500,16.6900,16.7250,0.1000,1268,0,5577
2018-07-19,G (Feb 2019),16.6600,16.8000,16.6200,16.7200,16.7750,0.0500,796,0,5824
2018-07-20,G (Feb 2019),16.7000,16.9500,16.7000,16.8100,16.8750,0.1000,868,0,6167
2018-07-23,G (Feb 2019),16.8900,16.9500,16.7500,16.7800,16.7750,-0.1000,1404,0,6603
2018-07-24,G (Feb 2019),16.7700,16.8800,16.5800,16.7300,16.7250,-0.0500,1270,0,6983
2018-07-25,G (Feb 2019),16.7700,16.8300,16.5600,16.6500,16.6250,-0.1000,1161,0,7138
2018-07-26,G (Feb 2019),16.6000,16.8000,16.5500,16.6500,16.6500,0.0250,1212,0,7309
2018-07-27,G (Feb 2019),16.6500,16.9200,16.5300,16.7700,16.7500,0.1000,1572,0,7668
2018-07-30,G (Feb 2019),16.8000,17.0000,16.6500,16.9300,16.9750,0.2250,928,0,7751
2018-07-31,G (Feb 2019),16.9000,16.9500,16.6300,16.6600,16.6750,-0.3000,1255,0,8025
2018-08-01,G (Feb 2019),16.7200,16.8100,16.5100,16.6700,16.7250,0.0500,1511,0,8845
2018-08-02,G (Feb 2019),16.6900,17.0700,16.5700,16.6500,16.6750,-0.0500,1068,0,8374
2018-08-03,G (Feb 2019),16.6000,16.6600,16.4500,16.5100,16.5250,-0.1500,1359,0,8771
2018-08-06,G (Feb 2019),16.5500,16.5500,16.2500,16.3300,16.3250,-0.2000,891,0,8874
2018-08-07,G (Feb 2019),16.3000,16.3000,16.0500,16.0700,16.0750,-0.2500,857,0,9174
2018-08-08,G (Feb 2019),16.0600,16.1500,15.9500,16.1000,16.0750,0.0000,955,0,9624
2018-08-09,G (Feb 2019),16.0700,16.1700,15.9500,16.1600,16.1750,0.1000,870,0,9669
2018-08-10,G (Feb 2019),16.2000,16.5200,16.2000,16.3400,16.4250,0.2500,2127,0,9713
2018-08-13,G (Feb 2019),16.5200,16.8200,16.2200,16.7700,16.7750,0.3500,3618,0,10891
2018-08-14,G (Feb 2019),16.7600,16.7700,16.3700,16.4000,16.4250,-0.3500,2118,0,11316
2018-08-15,G (Feb 2019),16.4400,17.1500,16.4400,16.5900,16.5750,0.1500,3840,0,12232
2018-08-16,G (Feb 2019),16.5300,16.6000,16.3000,16.4000,16.4250,-0.1500,3307,0,13316
2018-08-17,G (Feb 2019),16.4100,16.5500,16.1700,16.2200,16.2250,-0.2000,1183,0,13493
2018-08-20,G (Feb 2019),16.2500,16.2500,16.0700,16.1200,16.1250,-0.1000,990,0,13686
2018-08-21,G (Feb 2019),16.0700,16.4300,16.0000,16.3700,16.3250,0.2000,1733,0,14173
2018-08-22,G (Feb 2019),16.4500,16.5000,16.2000,16.2300,16.2250,-0.1000,1574,0,14594
2018-08-23,G (Feb 2019),16.2000,16.3500,16.1000,16.2800,16.2750,0.0500,2894,0,15513
2018-08-24,G (Feb 2019),16.3000,16.3000,16.1000,16.2500,16.2750,0.0000,1393,0,15517
2018-08-27,G (Feb 2019),16.2000,16.3000,16.0500,16.2800,16.2750,0.0000,2151,0,15608
2018-08-28,G (Feb 2019),16.2600,16.4100,16.1500,16.3300,16.3750,0.1000,2041,0,16089
