Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2018-06-25,H (Mar 2019),17.8000,17.8000,17.7700,17.7700,17.5750,0,4,0,2
2018-06-26,H (Mar 2019),17.5000,17.6000,17.5000,17.5000,17.5500,-0.0250,4,0,6
2018-06-27,H (Mar 2019),17.9500,18.1000,17.7000,18.1000,17.8750,0.3250,11,0,11
2018-06-28,H (Mar 2019),18.1000,18.2500,18.0000,18.0000,17.7500,-0.1250,13,0,19
2018-06-29,H (Mar 2019),17.6500,17.7900,17.6500,17.7900,17.8500,0.1000,66,0,60
2018-07-02,H (Mar 2019),18.1600,18.2000,17.8500,17.8500,17.9500,0.1000,65,0,105
2018-07-03,H (Mar 2019),17.9500,18.1000,17.9000,18.1000,18.0500,0.1000,50,0,140
2018-07-05,H (Mar 2019),17.8500,17.9000,17.8000,17.8500,17.8000,-0.2500,23,0,155
2018-07-06,H (Mar 2019),17.7500,17.8500,17.5800,17.5800,17.5000,-0.3000,8,0,160
2018-07-09,H (Mar 2019),17.2500,17.3000,17.0500,17.1000,16.9750,-0.5250,40,0,188
2018-07-10,H (Mar 2019),16.9500,16.9500,16.8000,16.9500,16.8750,-0.1000,120,0,268
2018-07-11,H (Mar 2019),17.0500,17.1600,16.9800,17.0800,17.0750,0.2000,271,0,411
2018-07-12,H (Mar 2019),16.9500,17.0700,16.7800,16.7800,16.8250,-0.2500,472,0,680
2018-07-13,H (Mar 2019),16.9000,16.9000,16.7000,16.7700,16.7500,-0.0750,76,0,704
2018-07-16,H (Mar 2019),16.7000,16.9700,16.7000,16.7800,16.8500,0.1000,93,0,784
2018-07-17,H (Mar 2019),16.9000,16.9700,16.8000,16.9300,16.9500,0.1000,91,0,815
2018-07-18,H (Mar 2019),16.9000,17.0500,16.8400,17.0300,17.0250,0.0750,370,0,1026
2018-07-19,H (Mar 2019),17.0400,17.1000,16.9600,17.0500,17.0750,0.0500,279,0,1114
2018-07-20,H (Mar 2019),17.0500,17.2500,17.0500,17.1700,17.2000,0.1250,242,0,1198
2018-07-23,H (Mar 2019),17.2500,17.3100,17.1200,17.1500,17.1500,-0.0500,322,0,1392
2018-07-24,H (Mar 2019),17.0800,17.2300,16.9600,17.0200,17.0500,-0.1000,655,0,1710
2018-07-25,H (Mar 2019),17.1500,17.1500,16.9200,17.0000,17.0000,-0.0500,678,0,1987
2018-07-26,H (Mar 2019),17.1000,17.1200,16.8700,16.9500,16.9750,-0.0250,739,0,2434
2018-07-27,H (Mar 2019),16.9500,17.2200,16.8800,17.1000,17.0500,0.0750,824,0,2877
2018-07-30,H (Mar 2019),17.1000,17.3100,16.9700,17.2500,17.2500,0.2000,367,0,3029
2018-07-31,H (Mar 2019),17.1400,17.2000,16.9900,17.0100,17.0250,-0.2250,433,0,3255
2018-08-01,H (Mar 2019),17.0500,17.1700,16.8500,17.0600,17.0500,0.0250,753,0,3915
2018-08-02,H (Mar 2019),17.0400,17.4000,16.9300,16.9800,17.0000,-0.0500,649,0,3855
2018-08-03,H (Mar 2019),16.9500,17.0000,16.8000,16.8900,16.9000,-0.1000,882,0,4303
2018-08-06,H (Mar 2019),16.8900,16.9100,16.6900,16.7200,16.7250,-0.1750,312,0,4367
2018-08-07,H (Mar 2019),16.7000,16.7000,16.4500,16.4500,16.4750,-0.2500,237,0,4417
2018-08-08,H (Mar 2019),16.4500,16.5200,16.3500,16.4200,16.4750,0.0000,392,0,4578
2018-08-09,H (Mar 2019),16.4500,16.5500,16.3500,16.5500,16.5250,0.0500,543,0,4724
2018-08-10,H (Mar 2019),16.6000,16.9000,16.6000,16.6800,16.7500,0.2250,1140,0,5260
2018-08-13,H (Mar 2019),16.7500,17.1700,16.6100,17.1300,17.1250,0.3750,2931,0,6612
2018-08-14,H (Mar 2019),17.1200,17.1600,16.7500,16.7700,16.8000,-0.3250,1228,0,7182
2018-08-15,H (Mar 2019),16.8100,17.4900,16.8100,16.9200,16.9250,0.1250,1974,0,7975
2018-08-16,H (Mar 2019),16.9600,16.9600,16.6400,16.7700,16.8000,-0.1250,716,0,8299
2018-08-17,H (Mar 2019),16.7300,16.8900,16.5500,16.5700,16.6000,-0.2000,327,0,8427
2018-08-20,H (Mar 2019),16.5500,16.6000,16.4000,16.4900,16.5000,-0.1000,529,0,8571
2018-08-21,H (Mar 2019),16.5000,16.7600,16.3800,16.7600,16.7000,0.2000,1004,0,8983
2018-08-22,H (Mar 2019),16.8000,16.8600,16.5500,16.6500,16.5750,-0.1250,1119,0,9456
2018-08-23,H (Mar 2019),16.5500,16.7000,16.4500,16.6300,16.6750,0.1000,1025,0,9646
2018-08-24,H (Mar 2019),16.6500,16.6500,16.4700,16.6100,16.6250,-0.0500,1425,0,10104
2018-08-27,H (Mar 2019),16.5100,16.6300,16.4300,16.5800,16.6250,0.0000,1658,0,10472
2018-08-28,H (Mar 2019),16.5700,16.7300,16.4700,16.6500,16.6750,0.0500,1483,0,11056
