Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2018-07-23,J (Apr 2019),17.3300,17.3500,17.3200,17.3200,17.2500,0,30,0,30
2018-07-24,J (Apr 2019),17.2000,17.3600,17.1600,17.1600,17.1000,-0.1500,204,0,242
2018-07-25,J (Apr 2019),17.3000,17.3000,17.0200,17.0900,17.0750,-0.0250,339,0,649
2018-07-26,J (Apr 2019),17.1000,17.1100,17.0100,17.0200,17.0000,-0.0750,327,0,988
2018-07-27,J (Apr 2019),17.1500,17.2800,17.1000,17.1200,17.1250,0.1250,291,0,1008
2018-07-30,J (Apr 2019),17.1500,17.3600,17.1500,17.3000,17.3000,0.1750,105,0,1041
2018-07-31,J (Apr 2019),17.1200,17.2500,17.1100,17.1100,17.1000,-0.2000,61,0,1080
2018-08-01,J (Apr 2019),17.1700,17.1700,16.9000,17.1600,17.1000,0.0000,114,0,1184
2018-08-02,J (Apr 2019),17.1400,17.4500,17.0500,17.0700,17.0500,-0.0500,371,0,1522
2018-08-03,J (Apr 2019),17.0500,17.0500,16.8500,16.9800,16.9750,-0.0750,353,0,1786
2018-08-06,J (Apr 2019),17.0000,17.0000,16.8200,16.8300,16.8000,-0.1750,50,0,1821
2018-08-07,J (Apr 2019),16.7100,16.7100,16.5900,16.5900,16.6250,-0.1750,67,0,1848
2018-08-08,J (Apr 2019),16.6500,16.6500,16.5000,16.5600,16.5500,-0.0750,171,0,1942
2018-08-09,J (Apr 2019),16.5500,16.6700,16.5300,16.6500,16.6500,0.1000,283,0,2129
2018-08-10,J (Apr 2019),16.9100,17.0200,16.7600,16.8000,16.7250,0.0750,871,0,2736
2018-08-13,J (Apr 2019),16.9500,17.2500,16.4500,17.2500,17.2000,0.4750,1767,0,3773
2018-08-14,J (Apr 2019),17.2000,17.2700,16.9100,16.9100,16.9250,-0.2750,825,0,4434
2018-08-15,J (Apr 2019),17.0900,17.6000,17.0000,17.0600,17.0500,0.1250,1357,0,5075
2018-08-16,J (Apr 2019),17.0900,17.0900,16.8000,16.9000,16.8750,-0.1750,658,0,5452
2018-08-17,J (Apr 2019),16.9700,17.0300,16.7000,16.7200,16.7500,-0.1250,160,0,5499
2018-08-20,J (Apr 2019),16.6800,16.7500,16.5700,16.6500,16.6250,-0.1250,414,0,5673
2018-08-21,J (Apr 2019),16.6200,16.9000,16.5600,16.9000,16.8500,0.2250,763,0,6104
2018-08-22,J (Apr 2019),16.9500,17.0100,16.7200,16.7700,16.7500,-0.1000,482,0,6410
2018-08-23,J (Apr 2019),16.7400,16.8100,16.6300,16.7800,16.8000,0.0500,435,0,6617
2018-08-24,J (Apr 2019),16.8000,16.8000,16.6500,16.7700,16.7750,-0.0250,905,0,7171
2018-08-27,J (Apr 2019),16.6800,16.7700,16.6000,16.7300,16.7250,-0.0500,1087,0,7747
2018-08-28,J (Apr 2019),16.7200,16.8500,16.6300,16.7800,16.8250,0.1000,1223,0,8544
