Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2013-07-19,J (Apr 2014),0,0,0,0,0,0,0,0,0
2013-07-22,J (Apr 2014),0.0000,20.4500,21.4000,0,20.8000,0,0,0,0
2013-07-23,J (Apr 2014),20.4500,20.5500,20.4500,20.8000,20.4000,-0.4000,6,0,0
2013-07-24,J (Apr 2014),20.4000,20.5000,20.3500,20.4000,20.3500,-0.0500,63,0,0
2013-07-25,J (Apr 2014),20.4500,20.5500,20.2500,20.3500,20.2500,-0.1000,98,0,0
2013-07-26,J (Apr 2014),20.2500,20.4200,20.2000,20.2500,20.2000,-0.0500,20,0,0
2013-07-29,J (Apr 2014),20.1500,20.3200,20.1500,20.2000,20.1500,-0.0500,33,0,0
2013-07-30,J (Apr 2014),20.1000,20.1000,19.9500,20.1500,19.9500,-0.2000,56,0,0
2013-07-31,J (Apr 2014),19.9500,19.9500,19.7000,19.9500,19.7000,-0.2500,41,0,0
2013-08-01,J (Apr 2014),19.4500,19.4500,19.3800,19.7000,19.4000,-0.3000,11,0,0
2013-08-02,J (Apr 2014),19.4500,19.4500,19.2500,19.4000,19.3000,-0.1000,10,0,0
2013-08-05,J (Apr 2014),19.0500,19.2000,19.0000,19.3000,19.0500,-0.2500,23,0,0
2013-08-06,J (Apr 2014),19.1000,19.3500,19.0200,19.0500,19.3000,0.2500,24,0,0
2013-08-07,J (Apr 2014),19.3500,19.4500,19.2800,19.3000,19.3000,0.0000,97,0,0
2013-08-08,J (Apr 2014),19.1000,19.2500,19.0000,19.3000,19.2000,-0.1000,7,0,0
2013-08-09,J (Apr 2014),19.2500,19.3100,19.1000,19.2000,19.3000,0.1000,20,0,0
2013-08-12,J (Apr 2014),19.4500,19.4500,19.3000,19.3000,19.3000,0.0000,85,0,0
2013-08-13,J (Apr 2014),19.3000,19.4500,19.2500,19.3000,19.4500,0.1500,19,0,0
2013-08-14,J (Apr 2014),19.4000,19.6500,19.4000,19.4500,19.6500,0.2000,81,0,0
2013-08-15,J (Apr 2014),19.8200,20.0500,19.6500,19.6500,20.0000,0.3500,208,0,0
2013-08-16,J (Apr 2014),19.9500,19.9500,19.5000,20.0000,19.8500,-0.1500,282,0,0
2013-08-19,J (Apr 2014),19.8500,20.1000,19.8000,19.8500,20.1000,0.2500,190,0,0
2013-08-20,J (Apr 2014),20.0500,20.0500,19.4200,20.1000,19.8500,-0.2500,382,0,0
2013-08-21,J (Apr 2014),19.8500,20.1000,19.3500,19.8500,19.8500,0.0000,194,0,0
2013-08-22,J (Apr 2014),19.6500,19.7000,19.2500,19.8500,19.4000,-0.4500,165,0,0
2013-08-23,J (Apr 2014),19.2500,19.3800,19.2000,19.4000,19.3000,-0.1000,126,0,0
2013-08-26,J (Apr 2014),19.2200,19.7200,19.0500,19.3000,19.6500,0.3500,500,0,0
2013-08-27,J (Apr 2014),19.7500,20.4100,19.7000,19.6500,20.4000,0.7500,1507,0,0
2013-08-28,J (Apr 2014),20.3800,20.5700,19.9500,20.4000,20.4500,0.0500,762,0,0
2013-08-29,J (Apr 2014),20.2000,20.6200,20.1800,20.4500,20.6000,0.1500,1143,0,0
2013-08-30,J (Apr 2014),20.5100,20.8500,20.4200,20.6000,20.7500,0.1500,496,0,0
