Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2013-09-23,M (Jun 2014),0.0000,19.5500,19.8500,0,19.7000,0,0,0,0
2013-09-24,M (Jun 2014),19.5500,19.9000,19.5500,19.7000,19.8000,0.1000,58,0,0
2013-09-25,M (Jun 2014),19.7000,19.8000,19.6800,19.8000,19.8000,0.0000,40,0,0
2013-09-26,M (Jun 2014),19.6500,19.7100,19.6200,19.8000,19.6000,-0.2000,72,0,0
2013-09-27,M (Jun 2014),19.7500,19.8000,19.7000,19.6000,19.7000,0.1000,5,0,0
2013-09-30,M (Jun 2014),20.0500,20.1100,19.8200,19.7000,20.0500,0.3500,650,0,0
2013-10-01,M (Jun 2014),20.0500,20.0500,19.7200,20.0500,19.7500,-0.3000,161,0,0
2013-10-02,M (Jun 2014),19.9500,20.0000,19.8500,19.7500,19.9500,0.2000,165,0,0
2013-10-03,M (Jun 2014),20.0500,20.2500,19.9500,19.9500,20.1000,0.1500,118,0,0
2013-10-04,M (Jun 2014),20.2500,20.3000,19.9200,20.1000,19.9500,-0.1500,16,0,0
2013-10-07,M (Jun 2014),20.3500,20.3500,20.2000,19.9500,20.2500,0.3000,87,0,0
2013-10-08,M (Jun 2014),20.2500,20.8000,20.2500,20.2500,20.7500,0.5000,276,0,0
2013-10-09,M (Jun 2014),20.7500,20.8500,20.4500,20.7500,20.7500,0.0000,281,0,0
2013-10-10,M (Jun 2014),20.2900,20.3600,19.8500,20.7500,20.0000,-0.7500,123,0,0
2013-10-11,M (Jun 2014),19.8500,19.8500,19.3800,20.0000,19.6000,-0.4000,90,0,0
2013-10-14,M (Jun 2014),19.8800,20.0000,19.5400,19.6000,19.5500,-0.0500,467,0,0
2013-10-15,M (Jun 2014),19.5000,19.8800,19.5000,19.5500,19.7000,0.1500,236,0,0
2013-10-16,M (Jun 2014),19.5500,19.5900,19.1500,19.7000,19.4500,-0.2500,321,0,0
