Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2013-10-21,N (Jul 2014),0.0000,19.1000,19.3500,0,19.2000,0,0,0,0
2013-10-22,N (Jul 2014),19.1000,19.2000,19.0500,19.2000,19.5000,0.3000,13,0,0
2013-10-23,N (Jul 2014),19.4000,19.5000,19.3800,19.5000,19.4500,-0.0500,329,0,0
2013-10-24,N (Jul 2014),19.4000,19.4100,19.3300,19.4500,19.3500,-0.1000,52,0,0
2013-10-25,N (Jul 2014),19.3100,19.4900,16.4300,19.3500,19.5000,0.1500,57,0,0
2013-10-28,N (Jul 2014),19.5500,19.6000,19.4500,19.5000,19.5000,0.0000,212,0,0
2013-10-29,N (Jul 2014),19.5000,19.6200,19.4800,19.5000,19.6000,0.1000,169,0,0
2013-10-30,N (Jul 2014),19.5500,19.7300,19.4500,19.6000,19.7000,0.1000,494,0,0
2013-10-31,N (Jul 2014),19.5500,19.6000,19.5000,19.7000,19.6500,-0.0500,367,0,0
2013-11-01,N (Jul 2014),19.5500,19.7500,19.5500,19.6500,19.7500,0.1000,182,0,0
2013-11-04,N (Jul 2014),19.6000,19.6700,19.5800,19.7500,19.5500,-0.2000,99,0,0
2013-11-05,N (Jul 2014),19.6200,19.6700,19.5700,19.5500,19.6500,0.1000,80,0,0
2013-11-06,N (Jul 2014),19.5000,19.5800,19.4800,19.6500,19.5500,-0.1000,146,0,0
2013-11-07,N (Jul 2014),19.4000,19.8200,19.4000,19.5500,19.8000,0.2500,155,0,0
2013-11-08,N (Jul 2014),19.6500,19.7900,19.4000,19.8000,19.4500,-0.3500,381,0,0
2013-11-11,N (Jul 2014),19.4700,19.6000,19.4500,19.4500,19.5000,0.0500,86,0,0
2013-11-12,N (Jul 2014),19.5500,19.6600,19.5000,19.5000,19.6500,0.1500,17,0,0
2013-11-13,N (Jul 2014),19.6500,19.7500,19.6000,19.6500,19.7500,0.1000,690,0,0
2013-11-14,N (Jul 2014),19.6500,19.8200,19.6400,19.7500,19.8000,0.0500,152,0,0
2013-11-15,N (Jul 2014),19.9000,19.9000,19.6800,19.8000,19.8000,0.0000,459,0,0
2013-11-18,N (Jul 2014),19.7000,19.8500,19.6500,19.8000,19.7500,-0.0500,373,0,0
2013-11-19,N (Jul 2014),19.7000,19.8500,19.6400,19.7500,19.7500,0.0000,646,0,0
2013-11-20,N (Jul 2014),19.7000,19.8000,19.4700,19.7500,19.6000,-0.1500,362,0,0
