Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2013-11-25,Q (Aug 2014),0.0000,19.0500,19.8000,0,19.4000,0,0,0,0
2013-11-26,Q (Aug 2014),19.4000,19.4500,19.2900,19.4000,19.5000,0.1000,111,0,0
2013-11-27,Q (Aug 2014),19.3900,19.9500,19.3900,19.5000,19.4500,-0.0500,14,0,0
2013-11-29,Q (Aug 2014),18.5500,19.9500,18.5500,19.4500,19.4000,-0.0500,19,0,0
2013-12-02,Q (Aug 2014),19.3000,19.4500,19.3000,19.4000,19.4500,0.0500,49,0,0
2013-12-03,Q (Aug 2014),19.9500,19.9500,18.9500,19.4500,19.4000,-0.0500,251,0,0
2013-12-04,Q (Aug 2014),19.1000,19.6500,19.1000,19.4000,19.2500,-0.1500,50,0,0
2013-12-05,Q (Aug 2014),19.1000,19.8000,18.9000,19.2500,19.2000,-0.0500,55,0,0
2013-12-06,Q (Aug 2014),19.4000,19.4000,18.9400,19.2000,18.9500,-0.2500,35,0,0
2013-12-09,Q (Aug 2014),18.8000,18.8000,18.7000,18.9500,18.7500,-0.2000,12,0,0
2013-12-10,Q (Aug 2014),18.6000,18.8000,18.6000,18.7500,18.8000,0.0500,33,0,0
2013-12-11,Q (Aug 2014),18.7300,19.1900,18.7000,18.8000,19.2000,0.4000,47,0,0
2013-12-12,Q (Aug 2014),19.0500,19.2300,18.9400,19.2000,19.2500,0.0500,132,0,0
2013-12-13,Q (Aug 2014),19.3500,19.3500,19.0000,19.2500,19.1500,-0.1000,85,0,0
2013-12-16,Q (Aug 2014),19.0000,19.2500,19.0000,19.1500,19.2500,0.1000,236,0,0
2013-12-17,Q (Aug 2014),19.2500,19.2800,19.0100,19.2500,19.1000,-0.1500,158,0,0
2013-12-18,Q (Aug 2014),19.0500,19.0500,18.5600,19.1000,18.6500,-0.4500,340,0,0
2013-12-19,Q (Aug 2014),18.5000,18.8500,18.5000,18.6500,18.8000,0.1500,177,0,0
