Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2014-05-27,G (Feb 2015),0.0000,17.6500,20.0000,0,18.8000,0,0,0,0
2014-05-28,G (Feb 2015),0.0000,17.7000,17.7000,18.8000,17.8500,-0.9500,0,0,0
2014-05-29,G (Feb 2015),17.8000,17.9600,17.7900,17.8500,17.9000,0.0500,70,0,0
2014-05-30,G (Feb 2015),17.9500,18.2000,17.9000,17.9000,18.1500,0.2500,212,0,0
2014-06-02,G (Feb 2015),18.2000,18.2200,18.1500,18.1500,18.2000,0.0500,36,0,0
2014-06-03,G (Feb 2015),18.2000,18.2200,18.1000,18.2000,18.1500,-0.0500,692,0,0
2014-06-04,G (Feb 2015),18.1000,18.1200,17.9700,18.1500,18.0000,-0.1500,465,0,0
2014-06-05,G (Feb 2015),17.9800,18.0000,17.7000,18.0000,17.7500,-0.2500,136,0,0
2014-06-06,G (Feb 2015),17.7000,17.7000,17.1500,17.7500,17.3000,-0.4500,1425,0,0
2014-06-09,G (Feb 2015),17.2300,17.4000,17.2000,17.3000,17.4500,0.1500,117,0,0
2014-06-10,G (Feb 2015),17.4400,17.5100,17.4000,17.4500,17.4500,0.0000,126,0,0
2014-06-11,G (Feb 2015),17.5400,17.6000,17.4500,17.4500,17.6000,0.1500,294,0,0
2014-06-12,G (Feb 2015),17.5200,17.9500,17.5200,17.6000,17.9500,0.3500,200,0,0
2014-06-13,G (Feb 2015),17.8500,17.9500,17.5800,17.9500,17.7500,-0.2000,382,0,0
2014-06-16,G (Feb 2015),17.7500,17.8000,17.6500,17.7500,17.7000,-0.0500,39,0,0
2014-06-17,G (Feb 2015),17.6500,17.7500,17.6000,17.7000,17.6500,-0.0500,38,0,0
2014-06-18,G (Feb 2015),17.7000,17.7200,17.2700,17.6500,17.3000,-0.3500,520,0,0
2014-06-19,G (Feb 2015),17.3200,17.4000,17.2300,17.3000,17.4000,0.1000,159,0,0
2014-06-20,G (Feb 2015),17.3400,17.4500,17.2500,17.4000,17.5000,0.1000,149,0,0
2014-06-23,G (Feb 2015),17.4500,17.5100,17.3500,17.5000,17.4000,-0.1000,330,0,0
