Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2014-12-22,U (Sep 2015),0.0000,18.9500,19.2500,0,19.3000,0,0,0,0
2014-12-23,U (Sep 2015),19.1000,19.2000,19.0900,19.3000,19.1500,-0.1500,2,0,0
2014-12-24,U (Sep 2015),19.2500,19.2500,19.1500,19.1500,19.2250,0.0750,2,0,0
2014-12-26,U (Sep 2015),19.2500,19.3000,19.2000,19.2250,19.5000,0.2750,3,0,0
2014-12-29,U (Sep 2015),0.0000,19.1000,19.2500,19.5000,19.1750,-0.3250,0,0,0
2014-12-30,U (Sep 2015),19.3500,19.4500,19.3500,19.1750,19.3250,0.1500,7,0,0
2014-12-31,U (Sep 2015),19.4500,20.0000,19.4000,19.3250,19.9250,0.6000,13,0,0
2015-01-02,U (Sep 2015),19.6500,20.3000,19.6500,19.9250,20.1000,0.1750,6,0,0
2015-01-05,U (Sep 2015),20.3500,20.8000,20.2000,20.1000,20.6750,0.5750,9,0,0
2015-01-06,U (Sep 2015),20.6000,20.9500,20.4000,20.6750,20.7500,0.0750,419,0,0
2015-01-07,U (Sep 2015),20.4000,20.5500,20.1500,20.7500,20.1500,-0.6000,49,0,0
2015-01-08,U (Sep 2015),20.2500,20.2500,19.5500,20.1500,19.5500,-0.6000,268,0,0
2015-01-09,U (Sep 2015),19.5500,20.0500,19.5000,19.5500,20.0750,0.5250,256,0,0
2015-01-12,U (Sep 2015),20.0000,20.4600,19.9500,20.0750,20.3250,0.2500,236,0,0
2015-01-13,U (Sep 2015),20.1000,20.6500,19.9000,20.3250,20.4500,0.1250,404,0,0
2015-01-14,U (Sep 2015),20.3700,20.7500,20.3700,20.4500,20.4250,-0.0250,125,0,0
2015-01-15,U (Sep 2015),20.2300,20.7600,20.2000,20.4250,20.7250,0.3000,157,0,0
2015-01-16,U (Sep 2015),20.8000,21.0000,20.4500,20.7250,20.5750,-0.1500,64,0,0
2015-01-20,U (Sep 2015),20.6000,20.9000,20.3000,20.5750,20.6500,0.0750,366,0,0
2015-01-21,U (Sep 2015),20.6500,20.8500,20.0500,20.6500,20.0250,-0.6250,280,0,0
2015-01-22,U (Sep 2015),20.0500,20.3000,19.6500,20.0250,19.6250,-0.4000,394,0,0
2015-01-23,U (Sep 2015),19.6000,19.9800,19.5800,19.6250,19.9500,0.3250,224,0,0
2015-01-26,U (Sep 2015),20.1000,20.2000,19.5500,19.9500,19.5750,-0.3750,295,0,0
2015-01-27,U (Sep 2015),19.5500,20.0500,19.5000,19.5750,19.7750,0.2000,320,0,0
2015-01-28,U (Sep 2015),19.7000,21.0500,19.6500,19.7750,21.0750,1.3000,406,0,0
2015-01-29,U (Sep 2015),20.7500,20.9500,20.1000,21.0750,20.1250,-0.9500,588,0,0
2015-01-30,U (Sep 2015),20.2000,21.0600,20.1500,20.1250,20.8250,0.7000,627,0,0
2015-02-02,U (Sep 2015),20.7000,21.1200,20.4000,20.8250,20.4750,-0.3500,477,0,0
2015-02-03,U (Sep 2015),20.4500,20.6000,20.2000,20.4750,20.2750,-0.2000,327,0,0
2015-02-04,U (Sep 2015),20.2500,20.6500,20.1500,20.2750,20.6750,0.4000,549,0,0
2015-02-05,U (Sep 2015),20.5000,20.7600,20.1400,20.6750,20.2750,-0.4000,146,0,0
2015-02-06,U (Sep 2015),20.3000,20.8000,19.9500,20.2750,20.4500,0.1750,1170,0,0
2015-02-09,U (Sep 2015),20.8000,20.8800,20.6000,20.4500,20.7500,0.3000,241,0,0
2015-02-10,U (Sep 2015),20.7000,20.7100,20.3000,20.7500,20.3500,-0.4000,578,0,0
2015-02-11,U (Sep 2015),20.3500,20.6000,20.3000,20.3500,20.3000,-0.0500,790,0,0
2015-02-12,U (Sep 2015),20.1500,20.3500,19.8100,20.3000,19.9750,-0.3250,663,0,0
2015-02-13,U (Sep 2015),19.9500,20.0400,19.6500,19.9750,19.7750,-0.2000,276,0,0
2015-02-17,U (Sep 2015),19.7500,20.0500,19.6700,19.7750,19.9750,0.2000,309,0,0
2015-02-18,U (Sep 2015),20.0000,20.0700,19.7900,19.9750,19.9750,0.0000,966,0,0
2015-02-19,U (Sep 2015),19.9500,20.0500,19.8300,19.9750,19.9750,0.0000,965,0,0
2015-02-20,U (Sep 2015),20.0000,20.1500,19.5200,19.9750,19.6250,-0.3500,1127,0,0
2015-02-23,U (Sep 2015),19.7000,19.8500,19.6400,19.6250,19.7000,0.0750,562,0,0
2015-02-24,U (Sep 2015),19.7300,19.7500,19.1500,19.7000,19.1750,-0.5250,1323,0,0
2015-02-25,U (Sep 2015),19.1600,19.3500,18.8600,19.1750,19.3250,0.1500,1938,0,0
2015-02-26,U (Sep 2015),19.3100,19.3900,18.9500,19.3250,19.1250,-0.2000,626,0,0
2015-02-27,U (Sep 2015),19.1000,19.1500,18.8500,19.1250,19.0250,-0.1000,1347,0,0
2015-03-02,U (Sep 2015),18.9500,19.0500,18.6800,19.0250,18.7000,-0.3250,1712,0,0
2015-03-03,U (Sep 2015),18.6000,18.9900,18.5200,18.7000,18.8250,0.1250,1432,0,0
2015-03-04,U (Sep 2015),18.8000,19.0500,18.7000,18.8250,18.7250,-0.1000,1944,0,0
2015-03-05,U (Sep 2015),18.7600,18.8100,18.5500,18.7250,18.5750,-0.1500,1289,0,0
2015-03-06,U (Sep 2015),18.5000,19.0100,18.5000,18.5750,18.8500,0.2750,2400,71,0
2015-03-09,U (Sep 2015),18.8500,18.8800,18.6500,18.8500,18.8750,0.0250,1684,0,0
2015-03-10,U (Sep 2015),18.8700,19.4000,18.8700,18.8750,19.3750,0.5000,2007,0,0
2015-03-11,U (Sep 2015),19.3700,19.6000,19.1500,19.3750,19.5750,0.2000,2775,188,0
2015-03-12,U (Sep 2015),19.5500,19.5500,18.9300,19.5750,19.0250,-0.5500,1011,0,0
2015-03-13,U (Sep 2015),18.9900,19.4900,18.9500,19.0250,19.2750,0.2500,2324,0,0
