Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2015-04-20,F (Jan 2016),0.0000,18.9500,0.0000,0,18.9750,0,0,0,0
2015-04-21,F (Jan 2016),0.0000,19.0500,19.6500,18.9750,19.3500,0.3750,0,0,0
2015-04-22,F (Jan 2016),0.0000,19.2000,19.2500,19.3500,19.1500,-0.2000,0,0,0
2015-04-23,F (Jan 2016),0.0000,19.1000,19.2500,19.1500,19.1750,0.0250,0,0,0
2015-04-24,F (Jan 2016),19.1500,19.1500,19.1500,19.1750,19.1750,0.0000,2,0,0
2015-04-27,F (Jan 2016),19.2500,19.3000,19.1500,19.1750,19.3500,0.1750,1,0,0
2015-04-28,F (Jan 2016),19.4500,19.4500,19.1000,19.3500,19.1250,-0.2250,3,0,0
2015-04-29,F (Jan 2016),19.0500,19.2500,19.0500,19.1250,19.1750,0.0500,3,0,0
2015-04-30,F (Jan 2016),19.2700,19.4500,19.2300,19.1750,19.3750,0.2000,9,0,0
2015-05-01,F (Jan 2016),19.2000,19.2500,19.0500,19.3750,19.1000,-0.2750,4,0,0
2015-05-04,F (Jan 2016),19.1500,19.2000,19.0700,19.1000,19.1750,0.0750,6,0,0
2015-05-05,F (Jan 2016),19.3000,19.3100,19.2500,19.1750,19.2750,0.1000,9,0,0
2015-05-06,F (Jan 2016),19.3000,19.5200,19.2500,19.2750,19.3250,0.0500,126,0,0
2015-05-07,F (Jan 2016),19.5500,19.5600,19.2500,19.3250,19.3000,-0.0250,81,0,0
2015-05-08,F (Jan 2016),19.2000,19.2500,18.9500,19.3000,19.1250,-0.1750,41,0,0
2015-05-11,F (Jan 2016),19.0900,19.3500,19.0800,19.1250,19.3750,0.2500,543,0,0
2015-05-12,F (Jan 2016),19.4500,19.5500,19.2800,19.3750,19.2500,-0.1250,133,0,0
2015-05-13,F (Jan 2016),19.2000,19.2500,19.1000,19.2500,19.1250,-0.1250,436,0,0
2015-05-14,F (Jan 2016),19.1000,19.1000,19.0300,19.1250,19.1000,-0.0250,152,0,0
2015-05-15,F (Jan 2016),19.0500,19.0500,18.9800,19.1000,19.0000,-0.1000,446,0,0
2015-05-18,F (Jan 2016),18.9500,19.0000,18.6500,19.0000,18.6500,-0.3500,88,0,0
2015-05-19,F (Jan 2016),18.6400,18.6600,18.5000,18.6500,18.6000,-0.0500,73,0,0
2015-05-20,F (Jan 2016),18.6000,18.7000,18.5000,18.6000,18.6500,0.0500,93,0,0
2015-05-21,F (Jan 2016),18.6700,18.7000,18.4500,18.6500,18.4750,-0.1750,606,0,0
2015-05-22,F (Jan 2016),18.4500,18.6300,18.4500,18.4750,18.6250,0.1500,315,0,0
2015-05-26,F (Jan 2016),18.6000,18.8500,18.5500,18.6250,18.6500,0.0250,624,0,0
2015-05-27,F (Jan 2016),18.6000,18.7000,18.4100,18.6500,18.5750,-0.0750,61,0,0
2015-05-28,F (Jan 2016),18.5700,18.6700,18.5500,18.5750,18.6000,0.0250,302,0,0
2015-05-29,F (Jan 2016),18.5700,18.8000,18.5700,18.6000,18.6750,0.0750,375,0,0
2015-06-01,F (Jan 2016),18.6500,18.7000,18.5400,18.6750,18.5500,-0.1250,33,0,0
2015-06-02,F (Jan 2016),18.7500,18.7900,18.6000,18.5500,18.7750,0.2250,159,0,0
2015-06-03,F (Jan 2016),18.7000,18.7000,18.6000,18.7750,18.6500,-0.1250,300,0,0
2015-06-04,F (Jan 2016),18.6700,18.9500,18.6600,18.6500,18.8750,0.2250,481,0,0
2015-06-05,F (Jan 2016),18.8500,18.9100,18.6800,18.8750,18.8750,0.0000,1440,0,0
2015-06-08,F (Jan 2016),18.8500,19.0400,18.8300,18.8750,19.0000,0.1250,351,0,0
2015-06-09,F (Jan 2016),18.9800,19.0400,18.8700,19.0000,18.9250,-0.0750,436,0,0
2015-06-10,F (Jan 2016),18.9200,18.9200,18.5500,18.9250,18.5750,-0.3500,1030,0,0
2015-06-11,F (Jan 2016),18.5500,18.5900,18.4000,18.5750,18.4250,-0.1500,524,0,0
2015-06-12,F (Jan 2016),18.4700,18.6700,18.4700,18.4250,18.5750,0.1500,397,0,0
2015-06-15,F (Jan 2016),18.6500,18.8800,18.5500,18.5750,18.8750,0.3000,916,0,0
2015-06-16,F (Jan 2016),18.8100,18.9300,18.6500,18.8750,18.7250,-0.1500,2016,0,0
2015-06-17,F (Jan 2016),18.7000,18.9000,18.6200,18.7250,18.7250,0.0000,2460,0,0
2015-06-18,F (Jan 2016),18.7300,18.8200,18.4200,18.7250,18.4750,-0.2500,3657,0,0
2015-06-19,F (Jan 2016),18.4600,18.6100,18.4300,18.4750,18.6250,0.1500,1939,0,0
2015-06-22,F (Jan 2016),18.5000,18.5000,18.1200,18.6250,18.1750,-0.4500,1412,0,0
2015-06-23,F (Jan 2016),18.2100,18.2100,18.0000,18.1750,18.0750,-0.1000,896,0,0
2015-06-24,F (Jan 2016),18.0500,18.2000,17.9500,18.0750,18.1500,0.0750,1666,0,0
2015-06-25,F (Jan 2016),18.1500,18.1800,17.9200,18.1500,18.1750,0.0250,1272,0,0
2015-06-26,F (Jan 2016),18.0500,18.1700,17.9300,18.1750,18.0250,-0.1500,1405,0,0
2015-06-29,F (Jan 2016),18.2500,19.0000,18.1800,18.0250,18.8250,0.8000,3289,0,0
2015-06-30,F (Jan 2016),18.7900,18.9800,18.3000,18.8250,18.6750,-0.1500,3845,0,0
2015-07-01,F (Jan 2016),18.5900,18.6000,17.9500,18.6750,17.9750,-0.7000,2046,0,0
2015-07-02,F (Jan 2016),18.0200,18.5000,17.9300,17.9750,18.3750,0.4000,4141,0,0
2015-07-06,F (Jan 2016),18.5500,18.9500,18.4000,18.3750,18.6750,0.3000,3149,0,0
2015-07-07,F (Jan 2016),18.6000,19.0500,18.2700,18.6750,18.3250,-0.3500,6168,0,0
2015-07-08,F (Jan 2016),18.2300,19.0000,18.2300,18.3250,18.8750,0.5500,3888,0,0
2015-07-09,F (Jan 2016),18.8900,19.2200,18.3700,18.8750,19.2250,0.3500,3053,0,0
2015-07-10,F (Jan 2016),19.1500,19.1800,18.3700,19.2250,18.6750,-0.5500,5098,0,0
2015-07-13,F (Jan 2016),18.8500,18.8600,17.8000,18.6750,17.8250,-0.8500,2554,0,0
2015-07-14,F (Jan 2016),17.8500,18.0200,17.7200,17.8250,17.9250,0.1000,2491,0,0
2015-07-15,F (Jan 2016),17.9200,18.1000,17.7300,17.9250,17.7750,-0.1500,1843,0,0
2015-07-16,F (Jan 2016),17.7500,17.8300,17.4500,17.7750,17.4750,-0.3000,1973,0,0
2015-07-17,F (Jan 2016),17.5000,17.5500,17.3500,17.4750,17.4750,0.0000,1596,0,0
2015-07-20,F (Jan 2016),17.5000,17.5000,17.2500,17.4750,17.3750,-0.1000,1786,0,0
2015-07-21,F (Jan 2016),17.4000,17.5600,17.3500,17.3750,17.4250,0.0500,2209,0,0
2015-07-22,F (Jan 2016),17.5000,17.7000,17.4500,17.4250,17.5250,0.1000,2675,0,0
2015-07-23,F (Jan 2016),17.5000,17.7800,17.4500,17.5250,17.5250,0.0000,3730,0,0
2015-07-24,F (Jan 2016),17.6000,17.8300,17.4600,17.5250,17.6750,0.1500,4264,0,0
2015-07-27,F (Jan 2016),17.7000,18.1100,17.6500,17.6750,17.8750,0.2000,3288,0,0
2015-07-28,F (Jan 2016),17.8900,17.9300,17.4500,17.8750,17.5250,-0.3500,3349,0,0
2015-07-29,F (Jan 2016),17.5000,17.5500,17.3500,17.5250,17.5250,0.0000,3507,0,0
2015-07-30,F (Jan 2016),17.5500,17.6500,17.4500,17.5250,17.5250,0.0000,3029,0,0
2015-07-31,F (Jan 2016),17.5000,17.6300,17.3500,17.5250,17.4750,-0.0500,2249,0,0
2015-08-03,F (Jan 2016),17.5000,17.7000,17.2500,17.4750,17.2750,-0.2000,3517,0,0
2015-08-04,F (Jan 2016),17.2500,17.4000,17.1800,17.2750,17.3750,0.1000,3146,0,0
2015-08-05,F (Jan 2016),17.3900,17.3900,17.0700,17.3750,17.3250,-0.0500,2579,0,0
2015-08-06,F (Jan 2016),17.3300,17.7600,17.2000,17.3250,17.4250,0.1000,5506,0,0
2015-08-07,F (Jan 2016),17.4400,17.6000,17.2500,17.4250,17.2750,-0.1500,3317,0,0
2015-08-10,F (Jan 2016),17.2700,17.2700,16.9500,17.2750,17.1750,-0.1000,2735,0,0
2015-08-11,F (Jan 2016),17.2000,17.6400,17.1500,17.1750,17.4750,0.3000,3858,0,0
2015-08-12,F (Jan 2016),17.4500,18.1100,17.3500,17.4750,17.3750,-0.1000,7895,0,0
2015-08-13,F (Jan 2016),17.3800,17.5400,17.2000,17.3750,17.3250,-0.0500,3897,0,0
2015-08-14,F (Jan 2016),17.3300,17.4200,17.1000,17.3250,17.2000,-0.1250,4123,0,0
2015-08-17,F (Jan 2016),17.1500,17.3300,17.0900,17.2000,17.2250,0.0250,3816,0,0
2015-08-18,F (Jan 2016),17.2000,17.4500,17.1600,17.2250,17.3750,0.1500,3112,0,0
2015-08-19,F (Jan 2016),17.4000,17.6200,17.2200,17.3750,17.5750,0.2000,5717,0,0
2015-08-20,F (Jan 2016),17.5700,18.1500,17.4500,17.5750,18.1250,0.5500,10858,0,0
2015-08-21,F (Jan 2016),18.1500,18.7000,17.9200,18.1250,18.6750,0.5500,25722,0,0
2015-08-24,F (Jan 2016),18.7300,21.4000,18.6300,18.6750,20.6500,1.9750,26147,0,0
2015-08-25,F (Jan 2016),20.7000,21.3200,19.3100,20.6500,20.8000,0.1500,14838,0,0
2015-08-26,F (Jan 2016),20.7000,21.3500,20.0300,20.8000,20.1250,-0.6750,9968,0,0
2015-08-27,F (Jan 2016),19.9500,20.8600,19.4500,20.1250,20.3750,0.2500,9652,0,0
2015-08-28,F (Jan 2016),20.2500,21.8500,20.0500,20.3750,21.2000,0.8250,8672,0,0
2015-08-31,F (Jan 2016),21.1000,22.2500,21.1000,21.2000,22.2250,1.0250,6754,0,0
2015-09-01,F (Jan 2016),22.2100,24.5000,22.2000,22.2250,23.9500,1.7250,11835,0,0
2015-09-02,F (Jan 2016),23.9700,24.1400,22.9000,23.9500,22.9250,-1.0250,9190,0,0
2015-09-03,F (Jan 2016),22.8600,23.6000,22.3000,22.9250,23.1000,0.1750,8188,0,0
2015-09-04,F (Jan 2016),23.1400,24.3000,23.0500,23.1000,23.9500,0.8500,6287,0,0
2015-09-08,F (Jan 2016),23.7500,23.9000,22.7500,23.9500,22.8000,-1.1500,3337,0,0
2015-09-09,F (Jan 2016),22.9000,23.2000,22.1500,22.8000,23.1000,0.3000,4199,0,0
2015-09-10,F (Jan 2016),23.3000,23.7000,22.6000,23.1000,22.6750,-0.4250,3145,0,0
2015-09-11,F (Jan 2016),22.8000,23.1000,22.4500,22.6750,22.5250,-0.1500,2720,0,0
2015-09-14,F (Jan 2016),22.4900,23.0800,22.3000,22.5250,22.4750,-0.0500,6083,0,0
2015-09-15,F (Jan 2016),22.4700,22.6500,20.8500,22.4750,20.9250,-1.5500,12521,0,0
2015-09-16,F (Jan 2016),20.9100,21.0000,19.6000,20.9250,19.6250,-1.3000,14203,0,0
2015-09-17,F (Jan 2016),19.6000,20.3000,18.8800,19.6250,20.2250,0.6000,14418,0,0
2015-09-18,F (Jan 2016),20.0000,21.2500,19.9700,20.2250,21.0250,0.8000,12379,0,0
2015-09-21,F (Jan 2016),20.9500,21.3800,20.1500,21.0250,20.1750,-0.8500,7929,0,0
2015-09-22,F (Jan 2016),20.1500,21.6800,20.0900,20.1750,21.0750,0.9000,10721,0,0
2015-09-23,F (Jan 2016),21.2000,21.6900,20.5800,21.0750,20.7250,-0.3500,7854,0,0
2015-09-24,F (Jan 2016),20.7600,21.9000,20.6000,20.7250,21.2250,0.5000,7218,0,0
2015-09-25,F (Jan 2016),21.2000,21.7000,20.3800,21.2250,21.5750,0.3500,5704,0,0
2015-09-28,F (Jan 2016),21.5000,22.6500,21.2500,21.5750,22.2250,0.6500,9576,0,0
