Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2016-03-21,Z (Dec 2016),0.0000,17.0000,20.7500,0,18.8750,0,0,0,0
2016-03-22,Z (Dec 2016),0.0000,19.5500,23.9500,18.8750,21.7500,2.8750,0,0,0
2016-03-23,Z (Dec 2016),20.7500,21.0500,20.7500,21.7500,20.6750,-1.0750,3,0,0
2016-03-24,Z (Dec 2016),21.0800,21.1400,21.0400,20.6750,21.1000,0.4250,4,0,0
2016-03-28,Z (Dec 2016),20.9000,21.0000,20.9000,21.1000,20.6000,-0.5000,4,0,0
2016-03-29,Z (Dec 2016),20.9500,20.9600,20.3700,20.6000,20.2750,-0.3250,27,0,0
2016-03-30,Z (Dec 2016),20.3000,20.4000,20.0800,20.2750,20.1250,-0.1500,117,0,0
2016-03-31,Z (Dec 2016),20.1200,20.2000,20.0800,20.1250,20.1500,0.0250,71,0,0
2016-04-01,Z (Dec 2016),20.4500,20.4500,19.9000,20.1500,19.9000,-0.2500,38,0,0
2016-04-04,Z (Dec 2016),19.8500,20.0500,19.8500,19.9000,20.0250,0.1250,38,0,0
2016-04-05,Z (Dec 2016),20.2000,20.4800,20.2000,20.0250,20.4750,0.4500,78,0,0
2016-04-06,Z (Dec 2016),20.3000,20.4000,20.0000,20.4750,20.0500,-0.4250,31,0,0
2016-04-07,Z (Dec 2016),20.2500,20.9500,20.2500,20.0500,20.7250,0.6750,94,0,0
2016-04-08,Z (Dec 2016),20.7400,20.7400,20.4000,20.7250,20.5250,-0.2000,90,0,0
2016-04-11,Z (Dec 2016),20.7100,20.7500,20.5400,20.5250,20.8250,0.3000,138,0,0
2016-04-12,Z (Dec 2016),20.8400,21.0500,20.4800,20.8250,20.5000,-0.3250,35,0,0
2016-04-13,Z (Dec 2016),20.3500,20.4500,20.2000,20.5000,20.4000,-0.1000,26,0,0
2016-04-14,Z (Dec 2016),20.2000,20.4000,20.1500,20.4000,20.2750,-0.1250,45,0,0
