Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2016-11-23,F (Jan 2017),0,0,0,0,0,0,0,0,0
2016-11-25,F (Jan 2017),0.0000,15.6000,15.7000,0.0000,15.6000,0,0,0,0
2016-11-28,F (Jan 2017),0.0000,15.8000,15.6500,0.0000,15.7250,0.1250,0,0,0
2016-11-29,F (Jan 2017),0.0000,15.7000,15.5500,0.0000,16.0500,0.3250,0,0,0
2016-11-30,F (Jan 2017),15.8000,15.8000,15.5000,15.5500,15.7000,-0.3500,2,0,0
2016-12-01,F (Jan 2017),0.0000,16.3000,15.6500,0.0000,16.1250,0.4250,0,0,0
2016-12-02,F (Jan 2017),0.0000,16.2000,15.8500,0.0000,16.3000,0.1750,0,0,0
2016-12-05,F (Jan 2017),16.6500,16.6500,15.0500,15.2000,14.9500,-1.3500,20,0,18
2016-12-06,F (Jan 2017),15.1000,15.1000,14.6000,15.1000,14.6000,-0.3500,2,0,18
2016-12-07,F (Jan 2017),14.4000,14.7000,14.4000,14.6000,14.8000,0.2000,25,0,24
2016-12-08,F (Jan 2017),14.8000,15.1500,14.8000,15.0500,14.7500,-0.0500,12,0,32
2016-12-09,F (Jan 2017),0.0000,14.8000,14.5500,0.0000,14.5250,-0.2250,0,0,32
2016-12-12,F (Jan 2017),0.0000,14.7500,14.4500,0.0000,14.8500,0.3250,0,0,32
2016-12-13,F (Jan 2017),15.0500,15.0500,14.8000,15.0500,14.8250,-0.0250,1,0,32
2016-12-14,F (Jan 2017),14.8500,14.9000,14.2000,14.6500,14.6750,-0.1500,53,0,84
2016-12-15,F (Jan 2017),14.7500,14.7500,14.4500,14.4500,14.4250,-0.2500,50,0,132
2016-12-16,F (Jan 2017),14.2500,14.4000,14.2500,14.2500,14.2250,-0.2000,2,0,134
2016-12-19,F (Jan 2017),13.9500,14.1000,13.8500,13.9500,13.8500,-0.3750,4,0,130
2016-12-20,F (Jan 2017),13.7500,13.7500,13.7000,13.7000,13.6750,-0.1750,12,0,130
2016-12-21,F (Jan 2017),13.6000,13.6000,13.3000,13.4500,13.4000,-0.2750,38,0,153
2016-12-22,F (Jan 2017),13.6500,13.6600,13.4500,13.4500,13.5000,0.1000,55,0,208
2016-12-23,F (Jan 2017),13.5500,13.6500,13.3000,13.3000,13.3250,-0.1750,42,0,250
2016-12-27,F (Jan 2017),13.0000,13.3000,12.8500,12.9000,13.0000,-0.3250,53,0,303
2016-12-28,F (Jan 2017),12.8000,13.8000,12.8000,13.8000,13.7000,0.7000,116,0,394
2016-12-29,F (Jan 2017),13.6500,14.2000,13.6500,14.2000,14.1250,0.4250,54,0,446
2016-12-30,F (Jan 2017),14.4000,14.9500,14.0000,14.5000,14.4250,0.3000,102,0,542
2017-01-03,F (Jan 2017),14.0500,14.1500,13.0500,13.1000,13.0250,-1.4000,132,0,505
2017-01-04,F (Jan 2017),13.1000,13.1000,12.7000,12.7000,13.0000,-0.0250,12,0,495
