Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2016-06-20,H (Mar 2017),0.0000,20.8000,21.8000,0,21.3000,0,0,0,0
2016-06-21,H (Mar 2017),0.0000,20.8000,21.8000,21.3000,21.3000,0.0000,0,0,0
2016-06-22,H (Mar 2017),0.0000,20.2500,22.2000,21.3000,21.3000,0.0000,0,0,0
2016-06-23,H (Mar 2017),0.0000,20.6500,21.0000,21.3000,21.4000,0.1000,0,0,0
2016-06-24,H (Mar 2017),0.0000,20.3000,22.3500,21.4000,22.7500,1.3500,0,0,0
2016-06-27,H (Mar 2017),0.0000,21.7000,23.8500,22.7500,22.7750,0.0250,0,0,0
2016-06-28,H (Mar 2017),0.0000,21.4000,22.0000,22.7750,21.6250,-1.1500,0,0,0
2016-06-29,H (Mar 2017),0.0000,21.0500,21.8000,21.6250,21.4250,-0.2000,0,0,0
2016-06-30,H (Mar 2017),0.0000,19.1500,22.0000,21.4250,20.5500,-0.8750,0,0,0
2016-07-01,H (Mar 2017),21.3600,21.3600,21.3600,20.5500,21.3250,0.7750,1,0,1
2016-07-05,H (Mar 2017),21.3000,21.3000,21.3000,21.3250,21.5250,0.2000,3,0,4
2016-07-06,H (Mar 2017),0.0000,19.1000,22.5000,21.5250,20.8000,-0.7250,0,0,4
2016-07-07,H (Mar 2017),0.0000,19.5500,21.9000,20.8000,20.7250,-0.0750,0,0,4
2016-07-08,H (Mar 2017),20.9000,21.0000,20.1000,20.7250,20.8000,0.0750,64,0,64
2016-07-11,H (Mar 2017),0.0000,20.1500,20.9000,20.8000,20.5750,-0.2250,0,0,64
2016-07-12,H (Mar 2017),20.6500,20.7000,20.6500,20.5750,20.5500,-0.0250,3,0,64
2016-07-13,H (Mar 2017),20.5300,20.5300,20.5300,20.5500,20.5250,-0.0250,3,0,64
2016-07-14,H (Mar 2017),0.0000,20.1000,20.7500,20.5250,19.9000,-0.6250,0,0,64
2016-07-15,H (Mar 2017),20.2500,20.4500,20.2300,19.9000,20.4750,0.5750,6,0,64
2016-07-18,H (Mar 2017),20.2000,20.4100,20.1900,20.4750,20.2500,-0.2250,82,0,92
2016-07-19,H (Mar 2017),20.2600,20.4200,20.2000,20.2500,20.2750,0.0250,102,0,150
2016-07-20,H (Mar 2017),20.2400,20.3000,20.1500,20.2750,20.2250,-0.0500,281,0,350
2016-07-21,H (Mar 2017),20.2000,20.5300,20.1500,20.2250,20.4750,0.2500,908,0,740
2016-07-22,H (Mar 2017),20.3500,20.4500,20.1300,20.4750,20.2250,-0.2500,258,0,845
2016-07-25,H (Mar 2017),20.2000,20.4500,20.1500,20.2250,20.3250,0.1000,64,0,864
2016-07-26,H (Mar 2017),20.3000,20.5000,20.2100,20.3250,20.3000,-0.0250,154,0,991
2016-07-27,H (Mar 2017),20.2500,20.4500,20.1600,20.3000,20.2000,-0.1000,370,0,1187
2016-07-28,H (Mar 2017),20.2500,20.4000,20.0000,20.2000,20.0250,-0.1750,508,0,1222
2016-07-29,H (Mar 2017),20.0000,20.0700,19.7100,20.0250,19.7500,-0.2750,524,0,1433
2016-08-01,H (Mar 2017),19.7000,19.8500,19.5200,19.7500,19.7000,-0.0500,245,0,1517
2016-08-02,H (Mar 2017),19.6700,20.1900,19.6500,19.7000,19.9750,0.2750,337,0,1755
2016-08-03,H (Mar 2017),20.0000,20.1500,19.9000,19.9750,19.9500,-0.0250,223,0,1835
2016-08-04,H (Mar 2017),20.0100,20.0100,19.8100,19.9500,19.9000,-0.0500,421,0,1927
2016-08-05,H (Mar 2017),19.8900,19.8900,19.5500,19.9000,19.7250,-0.1750,435,0,2058
2016-08-08,H (Mar 2017),19.6000,19.6500,19.5400,19.7250,19.5500,-0.1750,171,0,2058
2016-08-09,H (Mar 2017),19.5000,19.5000,19.2200,19.5500,19.3500,-0.2000,213,0,2111
2016-08-10,H (Mar 2017),19.3000,19.6000,19.2500,19.3500,19.4750,0.1250,371,0,2276
2016-08-11,H (Mar 2017),19.4800,19.6500,19.3000,19.4750,19.5750,0.1000,213,0,2373
2016-08-12,H (Mar 2017),19.5000,19.6700,19.4500,19.5750,19.6000,0.0250,284,0,2456
2016-08-15,H (Mar 2017),19.5000,19.6200,19.4400,19.6000,19.6000,0.0000,163,0,2507
2016-08-16,H (Mar 2017),19.5900,19.8500,19.5900,19.6000,19.8500,0.2500,317,0,2570
2016-08-17,H (Mar 2017),19.8000,20.0500,19.6700,19.8500,19.7500,-0.1000,1196,0,3133
2016-08-18,H (Mar 2017),19.7500,19.9200,19.6300,19.7500,19.8000,0.0500,892,0,3570
2016-08-19,H (Mar 2017),19.8000,20.0000,19.8000,19.8000,19.8750,0.0750,391,0,3686
2016-08-22,H (Mar 2017),19.9000,20.0300,19.8500,19.8750,19.9250,0.0500,785,0,3836
2016-08-23,H (Mar 2017),19.9500,20.0000,19.8000,19.9250,19.9750,0.0500,418,0,3820
2016-08-24,H (Mar 2017),19.9500,20.1500,19.9500,19.9750,20.1250,0.1500,908,0,3984
2016-08-25,H (Mar 2017),20.1000,20.1500,19.9000,20.1250,19.9750,-0.1500,628,0,4135
2016-08-26,H (Mar 2017),20.0000,20.2400,19.7200,19.9750,20.0750,0.1000,859,0,4443
2016-08-29,H (Mar 2017),20.1000,20.1000,19.9000,20.0750,20.0000,-0.0750,1095,0,4944
2016-08-30,H (Mar 2017),20.0000,20.0500,19.8800,20.0000,19.9750,-0.0250,1069,0,5355
2016-08-31,H (Mar 2017),20.0000,20.1500,19.9400,19.9750,19.9750,0.0000,875,0,5721
2016-09-01,H (Mar 2017),19.9500,20.1800,19.9000,19.9750,20.0250,0.0500,2586,0,6679
2016-09-02,H (Mar 2017),19.9900,20.1000,19.8500,20.0250,19.9000,-0.1250,1602,0,7358
2016-09-06,H (Mar 2017),19.8500,19.9200,19.6800,19.9000,19.6750,-0.2250,1120,0,7576
2016-09-07,H (Mar 2017),19.6500,19.7700,19.6000,19.6750,19.6750,0.0000,647,0,7853
2016-09-08,H (Mar 2017),19.6700,19.8300,19.6000,19.6750,19.8250,0.1500,1017,0,7969
2016-09-09,H (Mar 2017),19.7500,20.7500,19.7500,19.8250,20.6500,0.8250,3818,0,8148
2016-09-12,H (Mar 2017),20.8000,20.9700,20.1000,20.6500,20.3250,-0.3250,3949,0,8699
2016-09-13,H (Mar 2017),20.3000,21.0800,20.3000,20.3250,20.6250,0.3000,2828,0,9016
2016-09-14,H (Mar 2017),20.6500,20.9900,20.5000,20.6250,20.9750,0.3500,2086,0,9384
2016-09-15,H (Mar 2017),20.9000,21.0300,20.5200,20.9750,20.6750,-0.3000,2054,0,9875
2016-09-16,H (Mar 2017),20.6500,20.9300,20.4500,20.6750,20.4250,-0.2500,1464,0,10290
2016-09-19,H (Mar 2017),20.4000,20.4800,20.0700,20.4250,20.2250,-0.2000,2060,0,10471
2016-09-20,H (Mar 2017),20.1500,20.3000,20.0800,20.2250,20.3250,0.1000,1200,0,10736
2016-09-21,H (Mar 2017),20.3500,20.4100,19.8000,20.3250,19.9750,-0.3500,6981,0,12202
2016-09-22,H (Mar 2017),19.9500,19.9700,19.5000,19.9750,19.5750,-0.4000,2821,0,12171
2016-09-23,H (Mar 2017),19.5300,19.6500,19.3800,19.5750,19.6750,0.1000,1895,0,12355
2016-09-26,H (Mar 2017),19.6500,20.0500,19.6000,19.6750,19.7750,0.1000,2815,0,12622
2016-09-27,H (Mar 2017),19.7500,19.9700,19.3800,19.7750,19.4750,-0.3000,2936,0,12773
2016-09-28,H (Mar 2017),19.4700,19.6700,19.2500,19.4750,19.3500,-0.1250,1809,0,12638
2016-09-29,H (Mar 2017),19.3500,19.8800,19.2800,19.3500,19.4750,0.1250,3446,0,13179
2016-09-30,H (Mar 2017),19.4500,19.8200,19.3000,19.4750,19.4000,-0.0750,2626,0,13482
2016-10-03,H (Mar 2017),19.4500,19.5500,19.2200,19.4000,19.2750,-0.1250,1900,0,13703
2016-10-04,H (Mar 2017),19.2500,19.4500,19.0000,19.2750,19.0250,-0.2500,3654,0,13610
2016-10-05,H (Mar 2017),19.0000,19.2300,18.9300,19.0250,19.1750,0.1500,4051,0,14532
2016-10-06,H (Mar 2017),19.2000,19.3000,19.0200,19.1750,19.1250,-0.0500,1478,0,14720
2016-10-07,H (Mar 2017),19.1500,19.3500,18.9700,19.1250,19.1750,0.0500,3427,0,14375
2016-10-10,H (Mar 2017),19.1000,19.1000,18.9000,19.1750,18.9250,-0.2500,1859,0,13761
2016-10-11,H (Mar 2017),18.9000,19.4800,18.9000,18.9250,19.2250,0.3000,3452,0,14005
2016-10-12,H (Mar 2017),19.2500,19.4100,19.0800,19.2250,19.4250,0.2000,2324,0,14267
2016-10-13,H (Mar 2017),19.4000,19.9200,19.4000,19.4250,19.5750,0.1500,3693,0,14330
2016-10-14,H (Mar 2017),19.6000,19.6000,19.2300,19.5750,19.4750,-0.1000,2466,0,14322
2016-10-17,H (Mar 2017),19.5000,19.6400,19.2500,19.4750,19.3250,-0.1500,1774,0,14506
2016-10-18,H (Mar 2017),19.3000,19.3500,19.0500,19.3250,19.2250,-0.1000,2659,0,14765
2016-10-19,H (Mar 2017),19.2000,19.2500,18.8700,19.2250,19.0000,-0.2250,4057,0,15793
