Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2017-02-21,X (Nov 2017),0.0000,17.9500,18.4000,0,18.2000,0,0,0,0
2017-02-22,X (Nov 2017),18.3000,18.3500,18.2400,18.2000,18.2000,0.0000,9,0,7
2017-02-23,X (Nov 2017),18.4000,18.5000,18.3000,18.2000,18.3500,0.1500,16,0,20
2017-02-24,X (Nov 2017),18.5000,18.5500,18.4000,18.3500,18.4500,0.1000,9,0,24
2017-02-27,X (Nov 2017),18.4000,18.4000,18.2000,18.4500,18.1750,-0.2750,3,0,25
2017-02-28,X (Nov 2017),18.2700,18.2700,18.1500,18.1750,18.2000,0.0250,10,0,32
2017-03-01,X (Nov 2017),18.0000,18.1000,17.9500,18.2000,18.0750,-0.1250,13,0,41
2017-03-02,X (Nov 2017),18.1200,18.2000,18.1200,18.0750,18.2250,0.1500,10,0,45
2017-03-03,X (Nov 2017),18.1300,18.1300,18.0500,18.2250,18.0250,-0.2000,4,0,45
2017-03-06,X (Nov 2017),18.0500,18.0600,17.9800,18.0250,17.9500,-0.0750,3,0,47
2017-03-07,X (Nov 2017),17.8500,17.9500,17.8500,17.9500,17.9750,0.0250,4,0,48
2017-03-08,X (Nov 2017),17.8500,17.9500,17.6500,17.9750,17.9250,-0.0500,32,0,69
2017-03-09,X (Nov 2017),17.9300,18.0000,17.8500,17.9250,17.9500,0.0250,7,0,72
2017-03-10,X (Nov 2017),17.9000,18.0100,17.8700,17.9500,17.9250,-0.0250,11,0,76
2017-03-13,X (Nov 2017),17.9000,17.9000,17.8400,17.9250,17.8500,-0.0750,21,0,92
2017-03-14,X (Nov 2017),17.8500,18.0100,17.8500,17.8500,17.9500,0.1000,10,0,95
2017-03-15,X (Nov 2017),17.8500,17.9000,17.8000,17.9500,17.8250,-0.1250,17,0,109
2017-03-16,X (Nov 2017),17.9000,17.9000,17.7000,17.8250,17.6250,-0.2000,7,0,107
2017-03-17,X (Nov 2017),17.5800,17.6000,17.5400,17.6250,17.5500,-0.0750,35,0,128
2017-03-20,X (Nov 2017),17.6500,17.6500,17.5500,17.5500,17.5500,0.0000,40,0,153
2017-03-21,X (Nov 2017),17.5500,17.8500,17.4600,17.5500,17.8250,0.2750,42,0,174
2017-03-22,X (Nov 2017),17.8500,17.9500,17.7200,17.8250,17.8250,0.0000,442,0,390
2017-03-23,X (Nov 2017),17.8500,18.0000,17.7000,17.8250,17.9500,0.1250,282,0,523
2017-03-24,X (Nov 2017),17.9600,18.0100,17.6900,17.9500,17.7000,-0.2500,629,0,846
2017-03-27,X (Nov 2017),17.9500,17.9500,17.4500,17.7000,17.4500,-0.2500,281,0,944
2017-03-28,X (Nov 2017),17.4500,17.4800,17.2500,17.4500,17.2500,-0.2000,1121,0,1494
2017-03-29,X (Nov 2017),17.2500,17.2500,17.0800,17.2500,17.1250,-0.1250,358,0,1548
2017-03-30,X (Nov 2017),17.0500,17.1500,16.9900,17.1250,17.0000,-0.1250,524,0,1790
2017-03-31,X (Nov 2017),17.1000,17.1000,16.9300,17.0000,17.0500,0.0500,318,0,1880
2017-04-03,X (Nov 2017),17.0400,17.1400,16.9500,17.0500,17.0500,0.0000,499,0,2110
2017-04-04,X (Nov 2017),17.1200,17.1700,16.7800,17.0500,16.8000,-0.2500,659,0,2368
2017-04-05,X (Nov 2017),16.7000,17.0000,16.5500,16.8000,17.0250,0.2250,281,0,2534
2017-04-06,X (Nov 2017),17.0400,17.0400,16.6900,17.0250,16.7750,-0.2500,286,0,2665
2017-04-07,X (Nov 2017),16.7600,16.9900,16.7500,16.7750,16.9750,0.2000,462,0,2838
2017-04-10,X (Nov 2017),17.0000,17.1500,16.9300,16.9750,17.1000,0.1250,169,0,2892
2017-04-11,X (Nov 2017),17.2000,17.4000,17.0700,17.1000,17.1250,0.0250,1461,0,3740
2017-04-12,X (Nov 2017),17.1500,17.3200,17.0500,17.1500,17.1750,0.0500,642,0,4056
2017-04-13,X (Nov 2017),17.2000,17.3400,17.0000,17.1750,17.3000,0.1250,1023,0,4639
2017-04-17,X (Nov 2017),17.2900,17.3500,16.8500,17.3000,16.9000,-0.4000,413,0,4761
2017-04-18,X (Nov 2017),16.8600,17.0400,16.7800,16.9000,16.8750,-0.0250,850,0,4916
2017-04-19,X (Nov 2017),16.8800,17.2000,16.6200,16.8750,16.8750,0.0000,4586,0,6183
2017-04-20,X (Nov 2017),16.9000,16.9200,16.6600,16.8750,16.8750,0.0000,1263,0,6357
2017-04-21,X (Nov 2017),16.8700,16.9000,16.6500,16.8750,16.7250,-0.1500,2632,0,7128
2017-04-24,X (Nov 2017),16.6000,16.6000,16.3000,16.7250,16.3750,-0.3500,2380,0,7673
2017-04-25,X (Nov 2017),16.3100,16.3100,16.0000,16.3750,16.0250,-0.3500,1798,0,8207
2017-04-26,X (Nov 2017),16.0500,16.2000,16.0200,16.0250,16.0750,0.0500,884,0,8616
2017-04-27,X (Nov 2017),16.1100,16.1800,16.0500,16.0750,16.1250,0.0500,1225,0,9054
2017-04-28,X (Nov 2017),16.1500,16.2400,16.0300,16.1250,16.0750,-0.0500,1577,0,9769
2017-05-01,X (Nov 2017),16.0500,16.0500,15.6500,16.0750,15.7250,-0.3500,1429,0,10217
2017-05-02,X (Nov 2017),15.7000,15.8300,15.6500,15.7250,15.7750,0.0500,1247,0,10435
2017-05-03,X (Nov 2017),15.7700,15.9300,15.7000,15.7750,15.8750,0.1000,1347,0,10747
2017-05-04,X (Nov 2017),15.8800,15.9500,15.7500,15.8750,15.7750,-0.1000,1149,0,11058
2017-05-05,X (Nov 2017),15.7500,15.9500,15.7000,15.7750,15.9250,0.1500,2446,0,11871
2017-05-08,X (Nov 2017),15.8500,16.0900,15.8500,15.9250,16.0250,0.1000,3090,0,13283
2017-05-09,X (Nov 2017),16.0500,16.1000,15.9000,16.0250,16.0250,0.0000,2271,0,14290
2017-05-10,X (Nov 2017),16.0000,16.2000,16.0000,16.0250,16.1250,0.1000,3025,0,15635
2017-05-11,X (Nov 2017),16.1500,16.4200,16.0700,16.1250,16.1250,0.0000,3353,0,16385
2017-05-12,X (Nov 2017),16.1500,16.2500,16.0500,16.1250,16.2250,0.1000,2535,0,17098
2017-05-15,X (Nov 2017),16.2000,16.2000,16.1000,16.2250,16.1250,-0.1000,2232,0,17704
2017-05-16,X (Nov 2017),16.1000,16.3300,16.1000,16.1250,16.1750,0.0500,4266,0,18608
2017-05-17,X (Nov 2017),16.2000,16.9900,16.1800,16.1750,16.7250,0.5500,11131,0,20950
2017-05-18,X (Nov 2017),16.7500,16.9300,16.5000,16.7250,16.7250,0.0000,4288,0,21361
2017-05-19,X (Nov 2017),16.7000,16.7000,16.1500,16.7250,16.2250,-0.5000,5128,0,21933
2017-05-22,X (Nov 2017),16.3000,16.3000,16.0200,16.2250,16.0250,-0.2000,2298,0,21888
2017-05-23,X (Nov 2017),16.0500,16.2300,15.9800,16.0250,16.1750,0.1500,2059,0,22490
2017-05-24,X (Nov 2017),16.2000,16.3200,16.1000,16.1750,16.1750,0.0000,4119,0,22655
2017-05-25,X (Nov 2017),16.1700,16.2500,16.0300,16.1750,16.1750,0.0000,4212,0,23354
2017-05-26,X (Nov 2017),16.2000,16.2800,16.1000,16.1750,16.1250,-0.0500,2000,0,23528
2017-05-30,X (Nov 2017),16.1300,16.2500,15.8500,16.1250,15.8750,-0.2500,5418,0,23895
2017-05-31,X (Nov 2017),15.8800,16.0500,15.7500,15.8750,15.9250,0.0500,2970,0,24247
2017-06-01,X (Nov 2017),15.8500,15.8900,15.7500,15.9250,15.7750,-0.1500,3528,0,25140
2017-06-02,X (Nov 2017),15.7500,15.9000,15.7000,15.7750,15.8250,0.0500,3528,0,25862
2017-06-05,X (Nov 2017),15.7900,15.9000,15.7000,15.8250,15.8250,0.0000,1642,0,25843
2017-06-06,X (Nov 2017),15.8100,16.0000,15.8000,15.8250,15.9250,0.1000,3119,0,25678
2017-06-07,X (Nov 2017),15.9500,16.0800,15.8500,15.9250,15.9250,0.0000,2679,0,26151
2017-06-08,X (Nov 2017),15.9000,15.9500,15.6800,15.9250,15.7750,-0.1500,1731,0,26387
2017-06-09,X (Nov 2017),15.7500,16.0500,15.6600,15.7750,15.7500,-0.0250,3783,0,26354
2017-06-12,X (Nov 2017),15.7000,16.0700,15.7000,15.7500,15.7750,0.0250,2739,0,26399
2017-06-13,X (Nov 2017),15.7500,15.7900,15.5700,15.7750,15.5750,-0.2000,2768,0,26338
2017-06-14,X (Nov 2017),15.5500,15.6500,15.5000,15.5750,15.5250,-0.0500,2688,0,26931
2017-06-15,X (Nov 2017),15.5000,15.7900,15.4500,15.5250,15.5750,0.0500,3218,0,27609
2017-06-16,X (Nov 2017),15.6000,15.7000,15.3800,15.5750,15.4250,-0.1500,3097,0,27552
2017-06-19,X (Nov 2017),15.4200,15.4200,15.1500,15.4250,15.3250,-0.1000,6701,0,28294
2017-06-20,X (Nov 2017),15.3000,15.4200,15.1500,15.3250,15.2250,-0.1000,7158,0,28496
2017-06-21,X (Nov 2017),15.2000,15.3000,15.0500,15.2250,15.1750,-0.0500,9516,0,30538
2017-06-22,X (Nov 2017),15.1800,15.2500,15.0500,15.1750,15.1750,0.0000,6679,0,30127
2017-06-23,X (Nov 2017),15.1500,15.2300,15.0500,15.1750,15.1000,-0.0750,4766,0,29841
2017-06-26,X (Nov 2017),15.1200,15.1200,14.7500,15.1000,14.8250,-0.2750,3841,0,30274
2017-06-27,X (Nov 2017),14.8000,15.0000,14.7000,14.8250,14.8750,0.0500,8316,0,31160
2017-06-28,X (Nov 2017),14.8700,14.9400,14.6500,14.8750,14.8250,-0.0500,3683,0,31456
2017-06-29,X (Nov 2017),14.8000,15.5700,14.7500,14.8250,14.8750,0.0500,15081,0,33214
2017-06-30,X (Nov 2017),14.8000,15.0500,14.7500,14.8750,14.9250,0.0500,7516,0,33173
2017-07-03,X (Nov 2017),14.8500,15.1000,14.6500,14.9250,15.0750,0.1500,4411,0,32955
2017-07-05,X (Nov 2017),15.1200,15.2500,14.9200,15.0750,15.0750,0.0000,8081,0,32683
2017-07-06,X (Nov 2017),15.1000,15.4400,14.9600,15.0750,15.3250,0.2500,9647,0,32658
2017-07-07,X (Nov 2017),15.3300,15.3400,15.1900,15.3250,15.2750,-0.0500,7898,0,32760
2017-07-10,X (Nov 2017),15.2500,15.3000,14.9000,15.2750,14.9750,-0.3000,5928,0,31801
2017-07-11,X (Nov 2017),14.9800,15.2300,14.8000,14.9750,14.8250,-0.1500,6576,0,31731
2017-07-12,X (Nov 2017),14.8200,14.8500,14.5500,14.8250,14.6250,-0.2000,9813,0,31868
2017-07-13,X (Nov 2017),14.6000,14.6500,14.4000,14.6250,14.5750,-0.0500,7061,0,32463
2017-07-14,X (Nov 2017),14.5800,14.6000,14.2000,14.5750,14.2250,-0.3500,7482,0,33206
2017-07-17,X (Nov 2017),14.2000,14.3000,14.0900,14.2250,14.1750,-0.0500,7941,0,34604
2017-07-18,X (Nov 2017),14.2000,14.3800,14.1500,14.1750,14.2250,0.0500,10416,0,36014
2017-07-19,X (Nov 2017),14.2000,14.2500,13.9500,14.2250,14.1250,-0.1000,12532,0,36354
2017-07-20,X (Nov 2017),14.1000,14.2100,14.0500,14.1250,14.0750,-0.0500,7430,0,36379
2017-07-21,X (Nov 2017),14.0800,14.2900,14.0000,14.0750,14.0250,-0.0500,12640,0,35944
2017-07-24,X (Nov 2017),14.0500,14.1000,13.8000,14.0250,13.8750,-0.1500,5606,0,35519
2017-07-25,X (Nov 2017),13.9000,13.9500,13.7300,13.8750,13.9250,0.0500,9132,0,36174
2017-07-26,X (Nov 2017),13.9500,14.0000,13.7500,13.9250,13.9250,0.0000,10327,0,37168
2017-07-27,X (Nov 2017),13.9000,14.2300,13.7500,13.9250,13.8250,-0.1000,14966,0,39730
2017-07-28,X (Nov 2017),13.8200,14.0800,13.7800,13.8250,13.8250,0.0000,11531,0,40071
2017-07-31,X (Nov 2017),13.8500,14.0000,13.6700,13.8250,13.6750,-0.1500,7989,0,39722
2017-08-01,X (Nov 2017),13.7000,13.7000,13.5000,13.6750,13.5250,-0.1500,11222,0,39440
2017-08-02,X (Nov 2017),13.5300,13.7900,13.4200,13.5250,13.7250,0.2000,11369,0,39815
2017-08-03,X (Nov 2017),13.7300,13.9600,13.7200,13.7250,13.8750,0.1500,8507,0,40369
2017-08-04,X (Nov 2017),13.8700,14.0500,13.7500,13.8750,13.9750,0.1000,10592,0,41079
2017-08-07,X (Nov 2017),14.0100,14.0200,13.8000,13.9750,13.8750,-0.1000,6403,0,41453
2017-08-08,X (Nov 2017),13.8400,14.3900,13.7500,13.8750,14.1750,0.3000,24078,0,42180
2017-08-09,X (Nov 2017),14.2000,14.5500,14.0500,14.1750,14.3250,0.1500,26581,0,46148
2017-08-10,X (Nov 2017),14.3000,15.4700,14.3000,14.3250,15.4250,1.1000,39079,0,48825
2017-08-11,X (Nov 2017),15.4500,15.8500,14.9300,15.4250,15.7250,0.3000,36151,0,45582
2017-08-14,X (Nov 2017),15.7000,15.7000,14.3000,15.7250,14.3250,-1.4000,31522,0,42870
2017-08-15,X (Nov 2017),14.3000,14.5000,14.0000,14.3250,14.4250,0.1000,22679,0,45508
2017-08-16,X (Nov 2017),14.4000,14.4600,14.1000,14.4250,14.2250,-0.2000,37152,0,47279
2017-08-17,X (Nov 2017),14.2500,15.5300,14.1800,14.2250,15.2250,1.0000,51148,0,47693
2017-08-18,X (Nov 2017),15.2000,15.4800,14.7300,15.2250,15.3750,0.1500,39340,0,48908
2017-08-21,X (Nov 2017),15.3000,15.4000,14.9500,15.3750,14.9750,-0.4000,19436,0,49304
2017-08-22,X (Nov 2017),14.9600,14.9900,14.2000,14.9750,14.2250,-0.7500,25295,0,47796
2017-08-23,X (Nov 2017),14.2100,14.7300,14.1500,14.2250,14.6250,0.4000,26906,0,49301
2017-08-24,X (Nov 2017),14.6500,14.8900,14.2500,14.6250,14.5250,-0.1000,31718,0,50803
2017-08-25,X (Nov 2017),14.6000,14.7000,14.3500,14.5250,14.4250,-0.1000,20814,0,53980
2017-08-28,X (Nov 2017),14.4000,14.7000,14.2800,14.4250,14.3250,-0.1000,19270,0,53879
2017-08-29,X (Nov 2017),14.3300,15.3000,14.2900,14.3250,14.4250,0.1000,33478,0,54113
2017-08-30,X (Nov 2017),14.4500,14.5500,14.3000,14.4250,14.4750,0.0500,11977,0,53345
2017-08-31,X (Nov 2017),14.5000,14.5300,14.2000,14.4750,14.1750,-0.3000,18233,0,54773
2017-09-01,X (Nov 2017),14.2000,14.3100,14.1000,14.1750,14.2500,0.0750,21112,0,54850
2017-09-05,X (Nov 2017),14.5500,15.1200,14.4000,14.2500,14.4750,0.2250,34691,0,53470
2017-09-06,X (Nov 2017),14.5000,14.8000,14.4000,14.4750,14.7250,0.2500,34021,0,54303
2017-09-07,X (Nov 2017),14.7000,14.9000,14.5700,14.7250,14.6750,-0.0500,20101,0,54960
2017-09-08,X (Nov 2017),14.6800,15.0000,14.6500,14.6750,14.8750,0.2000,19641,0,56042
2017-09-11,X (Nov 2017),14.7500,14.8000,14.3500,14.8750,14.3750,-0.5000,19537,0,57097
2017-09-12,X (Nov 2017),14.3700,14.4300,14.0800,14.3750,14.1250,-0.2500,23593,0,60172
2017-09-13,X (Nov 2017),14.0900,14.1500,13.7000,14.1250,13.7250,-0.4000,32615,0,65235
2017-09-14,X (Nov 2017),13.7200,13.9500,13.5500,13.7250,13.7750,0.0500,34172,100,71327
2017-09-15,X (Nov 2017),13.8000,14.0500,13.6000,13.7750,13.6500,-0.1250,21814,0,73558
2017-09-18,X (Nov 2017),13.6500,13.6500,13.1400,13.6500,13.2250,-0.4250,46467,250,80314
2017-09-19,X (Nov 2017),13.2500,13.3500,13.1000,13.2250,13.2750,0.0500,63039,0,94357
2017-09-20,X (Nov 2017),13.2500,13.5500,13.0500,13.2750,13.1750,-0.1000,62954,0,102475
2017-09-21,X (Nov 2017),13.2000,13.3000,13.1000,13.1750,13.2750,0.1000,49511,0,111583
2017-09-22,X (Nov 2017),13.2500,13.5500,13.2000,13.2750,13.4250,0.1500,46658,0,120077
2017-09-25,X (Nov 2017),13.4000,13.7500,13.2500,13.4250,13.3750,-0.0500,89693,0,130329
2017-09-26,X (Nov 2017),13.3500,13.5000,13.1500,13.3750,13.2750,-0.1000,45116,0,141727
2017-09-27,X (Nov 2017),13.2600,13.3000,13.0800,13.2750,13.2750,0.0000,44848,0,149872
2017-09-28,X (Nov 2017),13.2500,13.3000,13.0500,13.2750,13.1250,-0.1500,36799,0,159946
2017-09-29,X (Nov 2017),13.1000,13.2500,12.8900,13.1250,13.0250,-0.1000,67449,0,174886
2017-10-02,X (Nov 2017),13.0000,13.0000,12.6000,13.0250,12.6750,-0.3500,60619,0,192997
2017-10-03,X (Nov 2017),12.7000,12.8000,12.5500,12.6750,12.7750,0.1000,56337,0,200852
2017-10-04,X (Nov 2017),12.7500,12.8500,12.7000,12.7750,12.7750,0.0000,47189,0,210661
2017-10-05,X (Nov 2017),12.7500,12.7800,12.4000,12.7750,12.4750,-0.3000,62244,0,227689
2017-10-06,X (Nov 2017),12.4600,12.7500,12.4000,12.4750,12.5250,0.0500,87595,96,240192
2017-10-09,X (Nov 2017),12.5500,12.8000,12.4000,12.5250,12.6250,0.1000,55927,0,247376
2017-10-10,X (Nov 2017),12.6000,12.7000,12.3000,12.6250,12.3250,-0.3000,92015,0,274012
2017-10-11,X (Nov 2017),12.3100,12.4500,12.0500,12.3250,12.1750,-0.1500,83977,42,295181
2017-10-12,X (Nov 2017),12.1500,12.2500,11.9000,12.1750,12.0750,-0.1000,93381,300,319845
2017-10-13,X (Nov 2017),12.0500,12.1500,11.7500,12.0750,11.8750,-0.2000,85991,0,339994
2017-10-16,X (Nov 2017),11.8500,11.9000,11.6000,11.8750,11.6750,-0.2000,104501,0,360551
2017-10-17,X (Nov 2017),11.6700,11.8000,11.6000,11.6750,11.7250,0.0500,111902,0,383927
2017-10-18,X (Nov 2017),11.7500,11.8000,11.5500,11.7250,11.5750,-0.1500,73665,0,376684
2017-10-19,X (Nov 2017),11.5500,12.4700,11.4500,11.5750,11.4750,-0.1000,142693,0,372068
2017-10-20,X (Nov 2017),11.4500,11.5500,11.3000,11.4750,11.3250,-0.1500,66816,0,364048
2017-10-23,X (Nov 2017),11.3500,11.9000,11.2000,11.3250,11.7750,0.4500,94887,0,319194
2017-10-24,X (Nov 2017),11.8000,12.0000,11.4000,11.7750,11.9250,0.1500,140266,0,319194
2017-10-25,X (Nov 2017),11.9500,13.2500,11.8900,11.9250,12.0250,0.2500,273068,771,285197
2017-10-26,X (Nov 2017),12.0500,12.3500,11.9000,12.0250,12.0750,0.0500,129258,0,285197
2017-10-27,X (Nov 2017),12.0500,12.2500,11.4000,12.0750,11.4250,-0.6000,112959,0,281979
2017-10-30,X (Nov 2017),11.4000,11.9500,11.3500,11.4250,11.5750,0.1500,128435,0,261154
2017-10-31,X (Nov 2017),11.6500,11.6500,11.2000,11.5750,11.2750,-0.3000,83650,0,258686
2017-11-01,X (Nov 2017),11.2500,11.5000,11.1000,11.2750,11.3750,0.1000,96722,0,244746
2017-11-02,X (Nov 2017),11.4000,11.8000,11.0700,11.3750,11.1250,-0.2500,114652,0,244746
2017-11-03,X (Nov 2017),11.1400,11.2000,10.8500,11.1250,10.9750,-0.4000,90375,0,234417
2017-11-06,X (Nov 2017),11.0500,11.3600,10.7000,10.9750,10.7250,-0.2500,74209,0,222113
2017-11-07,X (Nov 2017),10.7500,11.2000,10.7000,10.7250,10.8750,0.1500,139831,0,191365
2017-11-08,X (Nov 2017),10.9000,11.2200,10.7400,10.8750,10.8750,0.0000,105586,0,170978
2017-11-09,X (Nov 2017),10.8500,12.1000,10.8200,10.8750,11.1250,0.2500,214844,0,141166
2017-11-10,X (Nov 2017),11.1000,11.8500,11.1000,11.1250,11.6000,0.4750,123299,0,113166
2017-11-13,X (Nov 2017),11.5500,11.9500,11.4000,11.6000,11.6250,0.0250,100058,0,84899
2017-11-14,X (Nov 2017),11.6400,12.2200,11.6000,11.6250,12.0500,0.4250,125583,0,53587
2017-11-15,X (Nov 2017),12.0500,13.3500,11.9800,12.0500,13.7900,1.7400,9477,0,0
