VIX: 27.90
Symbol	Expiration	Last	Change	High	Low	Settlement	Volume	Int
06VX/G8	02/07/2018	26.55	+10.225	26.55	15.85	16.33	426	445
VIX/G8	02/14/2018	20.80	+5.175	20.85	15.20	15.63	374244	264706
08VX/G8	02/21/2018	18.15	+3.125	18.15	14.70	15.03	111	420
09VX/G8	02/27/2018	17.90	+3.025	17.90	14.90	14.88	164	335
10VX/H8	03/07/2018	16.10	+1.35	16.10	14.55	14.75	14	15
11VX/H8	03/14/2018	17.15	+2.475	17.20	17.15	14.68	12	0
VIX/H8	03/21/2018	17.64	+2.665	17.67	14.43	14.98	280864	192132
VIX/J8	04/18/2018	16.95	+1.875	16.99	14.65	15.08	69535	58979
VIX/K8	05/16/2018	16.71	+1.435	16.74	14.95	15.28	34448	43862
VIX/M8	06/20/2018	16.52	+1.095	16.65	15.15	15.43	16249	30718
VIX/N8	07/18/2018	16.82	+0.995	16.94	15.55	15.83	12641	21113
VIX/Q8	08/22/2018	16.89	+0.965	17.00	15.68	15.93	5602	16062
VIX/U8	09/19/2018	17.15	+0.925	17.20	16.05	16.23	1954	5875
VIX/V8	10/17/2018	17.31	+0.86	17.35	16.33	16.45	396	287




VIX:30.49
Symbol	Expiration	Last	Change	High	Low	Settlement	Volume	Int
06VX/G8	02/07/2018	30.50	+14.175	32.00	15.85	16.33	445	445
VIX/G8	02/14/2018	24.15	+8.525	24.50	15.20	15.63	395216	264706
08VX/G8	02/21/2018	20.45	+5.425	20.45	14.70	15.03	135	420
09VX/G8	02/27/2018	19.70	+4.825	19.80	14.90	14.88	179	335
10VX/H8	03/07/2018	16.10	+1.35	16.10	14.55	14.75	14	15
11VX/H8	03/14/2018	17.10	+2.425	17.20	17.10	14.68	22	0
VIX/H8	03/21/2018	20.10	+5.125	20.50	14.43	14.98	297062	192132
VIX/J8	04/18/2018	19.01	+3.935	19.25	14.65	15.08	78099	58979
VIX/K8	05/16/2018	18.35	+3.075	18.60	14.95	15.28	39446	43862
VIX/M8	06/20/2018	17.99	+2.565	18.16	15.15	15.43	19010	30718
VIX/N8	07/18/2018	18.15	+2.325	18.15	15.55	15.83	14966	21113
VIX/Q8	08/22/2018	18.00	+2.075	18.70	15.68	15.93	6877	16062
VIX/U8	09/19/2018	18.10	+1.875	18.23	16.05	16.23	2409	5875
VIX/V8	10/17/2018	18.05	+1.60	18.05	16.33	16.45	401	287

VIX:32.88
Symbol	Expiration	Last	Change	High	Low	Settlement	Volume	Int
06VX/G8	02/07/2018	31.40	+15.075	32.00	15.85	16.33	446	445
VIX/G8	02/14/2018	22.95	+7.325	24.50	15.20	15.63	399494	264706
08VX/G8	02/21/2018	20.45	+5.425	20.45	14.70	15.03	135	420
09VX/G8	02/27/2018	19.70	+4.825	19.80	14.90	14.88	179	335
10VX/H8	03/07/2018	16.10	+1.35	16.10	14.55	14.75	14	15
11VX/H8	03/14/2018	17.10	+2.425	17.20	17.10	14.68	22	0
VIX/H8	03/21/2018	19.31	+4.335	20.50	14.43	14.98	299451	192132
VIX/J8	04/18/2018	18.25	+3.175	19.25	14.65	15.08	79464	58979
VIX/K8	05/16/2018	17.69	+2.415	18.60	14.95	15.28	40742	43862
VIX/M8	06/20/2018	17.31	+1.885	18.16	15.15	15.43	19281	30718
VIX/N8	07/18/2018	17.50	+1.675	18.15	15.55	15.83	15046	21113
VIX/Q8	08/22/2018	17.52	+1.595	18.70	15.68	15.93	6912	16062
VIX/U8	09/19/2018	17.64	+1.415	18.23	16.05	16.23	2414	5875
VIX/V8	10/17/2018	18.10	+1.65	18.10	16.33	16.45	402	287

VIX:37.32
Symbol	Expiration	Last	Change	High	Low	Settlement	Volume	Int
06VX/G8	02/07/2018	42.80	+8.30	43.15	32.50	34.50	47	374
VIX/G8	02/14/2018	27.70	-5.525	33.25	25.30	33.22	96020	247516
08VX/G8	02/21/2018	26.30	-0.425	26.30	26.30	26.72	5	407
09VX/G8	02/27/2018	25.075	0.0	0.0	0.0	25.07	0	361
10VX/H8	03/07/2018	23.425	0.0	0.0	0.0	23.42	0	15
11VX/H8	03/14/2018	22.65	0.0	0.0	0.0	22.65	0	0
VIX/H8	03/21/2018	23.25	-4.725	28.00	21.95	27.97	115425	209345
VIX/J8	04/18/2018	21.55	-3.175	25.19	17.20	24.72	19641	59475
VIX/K8	05/16/2018	20.50	-0.45	22.90	19.00	20.95	8990	42022
VIX/M8	06/20/2018	19.70	+0.325	24.00	18.30	19.38	3927	32786
VIX/N8	07/18/2018	19.70	+0.275	28.50	18.30	19.42	2320	21732
VIX/Q8	08/22/2018	19.45	-0.975	20.25	17.40	20.42	1704	16498
VIX/U8	09/19/2018	19.70	+0.775	20.40	18.25	18.92	624	5970
VIX/V8	10/17/2018	19.74	+0.765	29.95	18.40	18.98	84	568
