date,time,open,high,low,close,volume
20090129,-,43.43,45.12,43.02,44.09,0
20090130,-,43.95,45.24,42.04,44.79,0
20090202,-,47.64,50.04,47.4,47.77,0
20090203,-,46.52,48.28,44.56,45.1,0
20090204,-,44.35,44.43,41.44,41.68,0
20090205,-,43.48,44.79,42.22,42.58,0
20090206,-,41.75,42.85,40.34,41.83,0
20090209,-,43.19,43.65,42.16,42.3,0
20090210,-,42.95,45.78,42.86,44.81,0
20090211,-,45.29,45.49,43.37,43.42,0
20090212,-,44.16,46.22,43.89,44.38,0
20090213,-,42.09,42.7,41.05,41.84,0
20090216,-,43.47,44.47,42.67,44.34,0
20090217,-,46.15,48.97,45.75,48.49,0
20090218,-,47.05,50.38,46.27,47.96,0
20090219,-,46.34,46.64,45.14,45.14,0
20090220,-,48.08,49.16,47.22,48.51,0
20090223,-,47.97,51.24,47.06,50.27,0
20090224,-,51.2,52.8,49.49,49.55,0
20090225,-,47.27,49.46,46.54,47.22,0
20090226,-,45.49,45.79,41.5,42.39,0
20090227,-,43.42,44.92,41.72,42.89,0
20090302,-,46.1,49.54,46.1,49.54,0
20090303,-,47.84,49.44,47.04,48.64,0
20090304,-,46.04,47.33,44.34,44.61,0
20090305,-,44.82,47.16,44.28,47.16,0
20090306,-,46.77,49.58,46.33,49.55,0
20090309,-,50.95,52.04,47.19,47.21,0
20090310,-,46.38,46.38,44.61,45.39,0
20090311,-,44.54,45.3,43.28,45.05,0
20090312,-,45.37,46.67,45.26,45.35,0
20090313,-,43.73,44.27,42.01,43.89,0
20090316,-,43.26,44.84,43.12,43.58,0
20090317,-,44.48,44.88,43.1,43.42,0
20090318,-,42.32,44.53,42.27,42.97,0
20090319,-,41.77,43.35,41.04,42.63,0
20090320,-,43.3,44.43,42.45,43.41,0
20090323,-,43.47,43.62,41.28,41.94,0
20090324,-,41.97,42.34,40.59,40.88,0
20090325,-,40.65,41.46,39.42,40.23,0
20090326,-,39.7,40.26,39.03,39.03,0
20090327,-,38.74,40.5,38.06,40.32,0
20090330,-,44.24,44.92,42.67,44.91,0
20090331,-,43.64,43.86,42.39,42.41,0
20090401,-,42.99,43.85,41.12,41.73,0
20090402,-,40.33,42.65,40.1,42.1,0
20090403,-,41.74,41.86,39.6,40.54,0
20090406,-,40.85,41.79,39.69,41.08,0
20090407,-,40.63,41.94,39.86,40.16,0
20090408,-,40.85,40.85,38.9,38.97,0
20090409,-,38.17,39.25,37.47,37.61,0
20090414,-,39.57,40.73,38.83,40.22,0
20090415,-,40.64,40.64,39.43,39.72,0
20090416,-,39.05,39.79,37.3,37.3,0
20090417,-,37.0,37.53,35.2,36.7,0
20090420,-,37.8,41.62,37.71,41.0,0
20090421,-,40.98,42.99,40.22,40.87,0
20090422,-,40.89,41.41,39.6,39.6,0
20090423,-,39.8,40.08,38.16,39.2,0
20090424,-,37.87,38.35,37.03,37.38,0
20090427,-,40.35,40.39,37.87,37.89,0
20090428,-,39.76,40.83,39.51,39.78,0
20090429,-,39.13,39.56,37.45,37.45,0
20090430,-,36.69,37.63,36.49,36.88,0
20090504,-,37.47,37.84,37.03,37.37,0
