date,time,open,high,low,close,volume
20080825,-,20.35,21.22,20.31,20.96,0
20080826,-,20.98,21.27,20.48,20.5,0
20080827,-,20.48,20.67,19.53,19.76,0
20080828,-,19.36,19.66,19.22,19.4,0
20080829,-,19.43,20.58,19.43,20.56,0
20080902,-,20.65,22.3,20.47,21.98,0
20080903,-,21.99,22.3,21.4,21.43,0
20080904,-,22.01,24.12,21.91,24.1,0
20080905,-,24.54,24.71,22.97,23.06,0
20080908,-,22.22,24.06,22.12,22.82,0
20080909,-,22.69,25.58,22.58,25.55,0
20080910,-,25.47,25.48,23.8,24.49,0
20080911,-,25.38,26.25,24.45,24.49,0
20080912,-,24.83,26.67,24.81,25.72,0
20080915,-,25.66,31.12,25.66,31.11,0
20080916,-,31.7,33.7,30.3,30.5,0
20080917,-,30.25,36.4,30.25,36.39,0
20080918,-,36.1,42.16,33.23,33.58,0
20080919,-,33.07,33.08,27.95,31.29,0
20080922,-,32.4,34.22,30.81,34.12,0
20080923,-,33.85,36.08,32.64,35.42,0
20080924,-,35.7,36.71,34.61,35.75,0
20080925,-,35.19,35.19,32.45,32.78,0
20080926,-,34.76,36.4,34.46,34.46,0
20080929,-,36.92,48.4,36.92,46.43,0
20080930,-,43.77,43.8,38.86,39.1,0
20081001,-,39.39,42.38,39.39,39.9,0
20081002,-,41.05,46.44,40.99,46.34,0
20081003,-,45.22,45.52,41.51,45.47,0
20081006,-,45.12,58.24,45.12,50.89,0
20081007,-,49.06,53.97,47.03,53.91,0
20081008,-,53.68,59.06,51.9,56.96,0
20081009,-,57.57,64.92,52.54,63.25,0
20081010,-,65.94,76.94,58.2,68.36,0
20081013,-,69.95,71.42,55.44,55.59,0
20081014,-,55.1,59.81,46.35,55.37,0
20081015,-,55.69,68.51,55.69,68.51,0
20081016,-,69.21,81.17,66.51,66.66,0
20081017,-,67.65,74.48,59.82,69.72,0
20081020,-,70.4,70.4,54.23,54.23,0
20081021,-,52.95,56.37,50.91,53.77,0
20081022,-,53.0,81.45,53.0,70.31,0
20081023,-,68.19,96.4,51.83,69.17,0
20081024,-,67.8,89.53,67.8,78.06,0
20081027,-,79.13,81.65,65.9,77.97,0
20081028,-,73.27,78.98,53.81,65.66,0
20081029,-,66.96,71.14,62.72,71.14,0
20081030,-,69.83,69.83,62.73,64.16,0
20081031,-,62.93,65.85,56.73,58.82,0
20081103,-,60.17,60.77,53.63,54.39,0
20081104,-,53.68,53.68,44.25,47.35,0
20081105,-,47.73,55.62,46.87,55.58,0
20081106,-,56.71,64.78,55.6,63.9,0
