date,time,open,high,low,close,volume
20130614,15:30:00,18.03,18.03,17.71,17.71,0
20130614,16:00:00,17.71,17.96,17.61,17.96,0
20130614,17:00:00,17.96,18.13,17.89,18.05,0
20130614,18:00:00,18.05,18.17,18.01,18.16,0
20130614,19:00:00,18.16,18.35,18.16,18.3,0
20130614,20:00:00,18.3,18.36,18.13,18.28,0
20130614,21:00:00,18.28,18.31,18.08,18.22,0
20130614,22:00:00,18.22,18.3,18.22,18.3,0
20130617,15:30:00,17.85,17.85,17.66,17.75,0
20130617,16:00:00,17.75,17.97,17.71,17.91,0
20130617,17:00:00,17.91,17.97,17.84,17.96,0
20130617,18:00:00,17.96,17.98,17.94,17.96,0
20130617,19:00:00,17.96,17.98,17.84,17.84,0
20130617,20:00:00,17.84,18.48,17.84,18.45,0
20130617,21:00:00,18.45,18.46,18.01,18.03,0
20130617,22:00:00,18.03,18.03,17.97,17.99,0
20130618,15:30:00,17.97,17.97,17.84,17.97,0
20130618,16:00:00,17.97,18.04,17.74,17.76,0
20130618,17:00:00,17.76,17.82,17.7,17.82,0
20130618,18:00:00,17.82,17.9,17.82,17.86,0
20130618,19:00:00,17.86,17.97,17.85,17.86,0
20130618,20:00:00,17.86,17.89,17.71,17.71,0
20130618,21:00:00,17.71,17.84,17.69,17.77,0
20130618,22:00:00,17.77,17.77,17.75,17.75,0
20130619,15:30:00,17.92,18.14,17.89,18.09,0
20130619,16:00:00,18.09,18.12,17.7,17.75,0
20130619,17:00:00,17.75,17.77,17.58,17.63,0
20130619,18:00:00,17.63,17.64,17.36,17.36,0
20130619,19:00:00,17.36,17.36,17.16,17.16,0
20130619,20:00:00,17.16,17.8,16.98,17.8,0
20130619,21:00:00,17.8,17.82,17.22,17.77,0
20130619,22:00:00,17.77,17.78,17.64,17.78,0
20130620,15:30:00,18.96,19.13,18.81,18.83,0
20130620,16:00:00,18.83,19.56,18.78,19.36,0
20130620,17:00:00,19.36,19.66,19.25,19.27,0
20130620,18:00:00,19.27,19.27,18.84,19.17,0
20130620,19:00:00,19.17,19.53,19.17,19.3,0
20130620,20:00:00,19.3,20.47,19.29,20.47,0
20130620,21:00:00,20.47,20.82,20.28,20.54,0
20130620,22:00:00,20.54,20.55,20.24,20.34,0
20130621,15:30:00,19.4,19.59,19.29,19.52,0
20130621,16:00:00,19.52,20.29,19.38,19.98,0
20130621,17:00:00,19.98,20.7,19.95,20.59,0
20130621,18:00:00,20.59,20.59,19.79,19.79,0
20130621,19:00:00,19.79,19.86,19.4,19.7,0
20130621,20:00:00,19.7,19.73,19.39,19.39,0
20130621,21:00:00,19.39,19.46,19.1,19.4,0
20130621,22:00:00,19.4,19.49,19.39,19.49,0
20130624,15:30:00,20.63,21.12,20.63,21.07,0
20130624,16:00:00,21.07,21.35,20.47,20.52,0
20130624,17:00:00,20.52,21.11,20.48,20.66,0
20130624,18:00:00,20.66,20.86,20.39,20.39,0
20130624,19:00:00,20.39,20.51,20.09,20.18,0
20130624,20:00:00,20.18,20.23,19.71,19.99,0
20130624,21:00:00,19.99,20.73,19.91,20.72,0
20130624,22:00:00,20.72,20.75,20.72,20.73,0
20130625,15:30:00,19.75,20.07,19.67,20.05,0
20130625,16:00:00,20.05,20.2,19.78,19.78,0
