date,time,open,high,low,close,volume
20170613,15:30:00,52.68,52.76,52.28,52.44,17529
20170613,16:00:00,52.44,52.84,52.08,52.76,22178
20170613,17:00:00,52.8,52.92,52.04,52.12,20718
20170613,18:00:00,52.12,52.28,51.92,51.96,13908
20170613,19:00:00,51.96,52.36,51.88,52.04,11678
20170613,20:00:00,52.04,52.32,51.92,52.28,13826
20170613,21:00:00,52.28,52.28,51.84,52.0,27177
20170614,15:30:00,51.96,52.44,51.84,51.96,17252
20170614,16:00:00,51.96,52.4,51.88,52.16,26909
20170614,17:00:00,52.12,52.48,52.04,52.24,18448
20170614,18:00:00,52.24,52.48,52.08,52.16,14325
20170614,19:00:00,52.12,52.4,52.0,52.04,13348
20170614,20:00:00,52.08,52.64,51.56,52.4,50138
20170614,21:00:00,52.4,52.8,51.56,51.72,59162
20170615,15:30:00,53.8,53.92,53.04,53.12,36169
20170615,16:00:00,53.08,53.76,52.72,53.24,37380
20170615,17:00:00,53.24,53.36,52.72,53.24,23026
20170615,18:00:00,53.24,53.44,52.88,52.96,14557
20170615,19:00:00,52.96,53.28,52.88,53.24,11758
20170615,20:00:00,53.24,53.32,52.24,52.32,21897
20170615,21:00:00,52.36,52.48,51.88,52.4,28105
20170616,15:30:00,51.92,52.72,51.92,52.24,20709
20170616,16:00:00,52.24,52.92,52.08,52.8,26992
20170616,17:00:00,52.8,52.88,52.12,52.12,21218
20170616,18:00:00,52.08,52.28,51.92,52.24,14579
20170616,19:00:00,52.28,52.48,52.04,52.16,14133
20170616,20:00:00,52.16,52.24,51.84,52.04,12400
20170616,21:00:00,52.0,52.16,51.8,51.88,32537
20170619,15:30:00,51.0,51.04,50.52,50.6,21317
20170619,16:00:00,50.56,50.64,50.04,50.4,27126
20170619,17:00:00,50.4,50.8,50.2,50.24,21940
20170619,18:00:00,50.24,50.32,50.16,50.16,5829
20170619,19:00:00,50.16,50.44,50.0,50.4,10072
20170619,20:00:00,50.44,50.72,50.24,50.68,17808
20170619,21:00:00,50.68,50.76,50.04,50.28,25056
20170620,15:30:00,50.84,51.36,50.76,51.32,20163
20170620,16:00:00,51.32,51.4,50.84,50.96,19552
20170620,17:00:00,50.96,51.4,50.88,51.4,11856
20170620,18:00:00,51.4,51.88,51.16,51.2,23576
20170620,19:00:00,51.16,51.2,50.76,50.8,21025
20170620,20:00:00,50.8,51.36,50.64,51.12,21273
20170620,21:00:00,51.12,51.76,50.76,51.68,40907
20170621,15:30:00,50.76,51.0,50.48,51.0,20777
20170621,16:00:00,50.96,51.04,50.44,50.64,26796
20170621,17:00:00,50.6,51.16,50.56,50.72,27189
20170621,18:00:00,50.72,51.08,50.56,51.04,11628
20170621,19:00:00,51.04,51.52,50.88,51.32,17255
20170621,20:00:00,51.32,51.68,50.96,51.0,20811
20170621,21:00:00,51.0,51.28,50.96,51.16,19438
20170622,15:30:00,51.04,51.4,51.04,51.12,12270
20170622,16:00:00,51.12,51.32,50.88,50.96,17672
20170622,17:00:00,50.92,51.04,50.68,50.88,20980
20170622,18:00:00,50.88,50.96,50.64,50.76,9578
20170622,19:00:00,50.72,50.8,50.56,50.6,9354
20170622,20:00:00,50.64,50.68,50.4,50.44,14980
20170622,21:00:00,50.48,50.68,50.36,50.68,20774
20170623,15:30:00,50.6,50.96,50.52,50.68,12245
20170623,16:00:00,50.64,50.72,50.24,50.36,15314
20170623,17:00:00,50.36,50.44,50.2,50.24,7825
20170623,18:00:00,50.24,50.32,50.08,50.28,11689
20170623,19:00:00,50.28,50.32,50.04,50.08,6478
20170623,20:00:00,50.08,50.28,50.04,50.16,8512
20170623,21:00:00,50.16,50.4,50.04,50.12,24941
20170626,15:30:00,49.52,49.56,49.16,49.16,12612
20170626,16:00:00,49.2,49.84,49.16,49.64,26471
