date,time,open,high,low,close,volume
20170609,15:30:00,23.9,23.92,23.82,23.82,75
20170609,16:00:00,23.83,23.92,23.83,23.89,48
20170609,17:00:00,23.95,23.95,23.89,23.91,65
20170609,18:00:00,23.93,23.98,23.9,23.95,93
20170609,19:00:00,23.96,24.14,23.95,24.14,51
20170609,20:00:00,24.12,24.43,24.1,24.19,132
20170609,21:00:00,24.19,24.19,23.93,23.94,444
20170612,15:30:00,24.02,24.51,24.02,24.35,239
20170612,16:00:00,24.36,24.38,24.04,24.04,160
20170612,17:00:00,24.03,24.1,23.97,24.06,179
20170612,18:00:00,24.07,24.2,24.07,24.19,76
20170612,19:00:00,24.19,24.27,24.13,24.27,125
20170612,20:00:00,24.27,24.27,24.09,24.16,72
20170612,21:00:00,24.15,24.16,24.04,24.04,297
20170613,15:30:00,23.87,23.89,23.79,23.8,142
20170613,16:00:00,23.8,23.81,23.77,23.81,227
20170613,17:00:00,23.8,23.86,23.72,23.77,326
20170613,18:00:00,23.78,23.8,23.77,23.8,93
20170613,19:00:00,23.78,23.82,23.77,23.79,77
20170613,20:00:00,23.8,23.94,23.78,23.94,155
20170613,21:00:00,23.94,23.94,23.84,23.84,608
20170614,15:30:00,23.73,23.78,23.68,23.68,168
20170614,16:00:00,23.68,23.77,23.67,23.73,302
20170614,17:00:00,23.75,23.81,23.74,23.76,92
20170614,18:00:00,23.79,23.8,23.73,23.73,70
20170614,19:00:00,23.73,23.76,23.73,23.73,44
20170614,20:00:00,23.72,23.78,23.64,23.73,103
20170614,21:00:00,23.75,23.78,23.64,23.65,530
20170615,15:30:00,23.94,23.98,23.83,23.92,82
20170615,16:00:00,23.78,23.89,23.75,23.79,92
20170615,17:00:00,23.81,23.81,23.79,23.81,20
20170615,18:00:00,23.78,23.8,23.75,23.75,11
20170615,19:00:00,23.77,23.81,23.77,23.81,19
20170615,20:00:00,23.81,23.82,23.7,23.71,164
20170615,21:00:00,23.7,23.77,23.65,23.71,456
20170616,15:30:00,23.65,23.74,23.62,23.65,131
20170616,16:00:00,23.64,23.83,23.64,23.83,143
20170616,17:00:00,23.8,23.81,23.68,23.7,83
20170616,18:00:00,23.7,23.7,23.59,23.62,104
20170616,19:00:00,23.59,23.65,23.59,23.62,77
20170616,20:00:00,23.61,23.63,23.53,23.54,161
20170616,21:00:00,23.54,23.54,23.44,23.48,811
20170619,15:30:00,23.16,23.2,23.11,23.13,167
20170619,16:00:00,23.11,23.13,23.04,23.13,120
20170619,17:00:00,23.14,23.22,23.14,23.16,117
20170619,18:00:00,23.14,23.15,23.13,23.15,68
20170619,19:00:00,23.16,23.18,23.13,23.17,135
20170619,20:00:00,23.15,23.21,23.13,23.19,275
20170619,21:00:00,23.19,23.21,23.02,23.05,680
20170620,15:30:00,23.17,23.31,23.14,23.31,262
