date,time,open,high,low,close,volume
20181206,15:30:00,51.73,52.17,51.5,51.89,3059
20181206,15:31:00,51.89,52.36,51.7,52.11,1214
20181206,15:32:00,52.16,52.82,52.08,52.64,1491
20181206,15:33:00,52.66,53.02,52.39,52.98,1384
20181206,15:34:00,52.94,53.0,51.34,51.35,1779
20181206,15:35:00,51.41,51.7,50.96,50.99,906
20181206,15:36:00,50.99,51.0,50.52,50.77,1095
20181206,15:37:00,50.77,50.97,50.43,50.51,665
20181206,15:38:00,50.51,50.61,50.38,50.51,631
20181206,15:39:00,50.55,50.59,50.05,50.12,525
20181206,15:40:00,50.2,50.8,50.16,50.58,778
20181206,15:41:00,50.55,51.08,50.55,50.98,1253
20181206,15:42:00,51.0,51.3,50.67,51.2,499
20181206,15:43:00,51.18,51.54,51.08,51.41,716
20181206,15:44:00,51.41,51.7,51.02,51.15,583
20181206,15:45:00,51.16,51.66,51.14,51.44,280
20181206,15:46:00,51.58,51.98,51.44,51.88,781
20181206,15:47:00,51.98,52.15,51.8,51.93,901
20181206,15:48:00,51.94,52.32,51.94,52.22,552
20181206,15:49:00,52.26,52.58,52.12,52.47,859
20181206,15:50:00,52.5,52.69,52.15,52.45,704
20181206,15:51:00,52.49,52.9,52.43,52.65,674
20181206,15:52:00,52.61,52.95,52.55,52.95,696
20181206,15:53:00,52.92,53.25,52.83,53.1,1428
20181206,15:54:00,53.11,53.74,53.09,53.32,1750
20181206,15:55:00,53.38,53.61,52.86,52.87,1094
20181206,15:56:00,52.88,53.07,52.7,52.82,557
20181206,15:57:00,52.9,52.9,52.35,52.52,719
20181206,15:58:00,52.45,52.59,52.35,52.58,890
20181206,15:59:00,52.57,52.62,52.35,52.44,469
20181206,16:00:00,52.59,53.19,51.61,51.99,1540
20181206,16:01:00,52.02,52.3,51.82,51.87,610
20181206,16:02:00,51.83,52.1,51.68,51.71,406
20181206,16:03:00,51.73,52.11,51.66,51.66,453
20181206,16:04:00,51.76,52.27,51.75,51.93,323
20181206,16:05:00,51.97,52.7,51.93,52.63,588
20181206,16:06:00,52.61,52.61,51.95,51.96,755
20181206,16:07:00,51.99,52.11,51.39,51.42,788
20181206,16:08:00,51.39,51.49,51.23,51.41,559
20181206,16:09:00,51.35,51.69,51.16,51.2,604
20181206,16:10:00,51.2,51.63,51.2,51.55,348
20181206,16:11:00,51.45,52.02,51.37,51.79,751
20181206,16:12:00,51.82,51.84,51.46,51.65,369
20181206,16:13:00,51.61,51.65,51.32,51.43,511
20181206,16:14:00,51.39,51.69,51.38,51.5,418
20181206,16:15:00,51.45,51.46,50.32,50.32,1196
20181206,16:16:00,50.34,50.66,50.23,50.54,806
20181206,16:17:00,50.57,51.07,50.51,50.99,708
20181206,16:18:00,51.0,51.37,50.95,51.01,540
20181206,16:19:00,51.01,51.3,50.9,51.28,402
20181206,16:20:00,51.29,51.71,51.23,51.44,908
20181206,16:21:00,51.43,51.43,50.91,51.31,513
20181206,16:22:00,51.3,51.41,51.02,51.27,282
20181206,16:23:00,51.44,51.5,51.2,51.35,339
20181206,16:24:00,51.3,51.92,51.29,51.86,535
20181206,16:25:00,51.85,52.17,51.76,51.77,678
20181206,16:26:00,51.81,51.81,51.12,51.25,694
20181206,16:27:00,51.28,51.57,51.1,51.23,453
20181206,16:28:00,51.19,51.47,51.07,51.42,510
20181206,16:29:00,51.44,51.69,51.2,51.23,262
20181206,16:30:00,51.24,51.67,51.04,51.63,360
20181206,16:31:00,51.59,52.0,51.44,51.93,318
20181206,16:32:00,51.93,52.1,51.74,51.79,493
20181206,16:33:00,51.84,51.85,51.51,51.75,263
20181206,16:34:00,51.83,52.07,51.64,51.98,547
20181206,16:35:00,51.95,52.3,51.58,52.3,289
20181206,16:36:00,52.26,52.65,52.15,52.59,830
20181206,16:37:00,52.6,52.72,52.22,52.3,812
20181206,16:38:00,52.24,52.43,51.96,52.3,612
20181206,16:39:00,52.35,52.54,51.88,52.07,437
20181206,16:40:00,51.95,52.05,51.42,52.04,444
20181206,16:41:00,51.99,52.48,51.9,52.43,245
20181206,16:42:00,52.44,52.6,51.99,52.11,351
20181206,16:43:00,52.15,52.15,51.77,52.08,153
20181206,16:44:00,52.1,52.16,51.73,51.76,260
20181206,16:45:00,51.76,52.19,51.71,52.15,273
20181206,16:46:00,52.13,52.42,51.97,52.4,221
20181206,16:47:00,52.38,52.4,52.03,52.24,191
20181206,16:48:00,52.28,53.04,52.27,53.01,1271
20181206,16:49:00,53.01,53.12,52.86,53.02,667
20181206,16:50:00,53.04,53.13,52.7,53.07,451
20181206,16:51:00,53.14,53.21,52.95,53.0,392
20181206,16:52:00,53.06,53.24,52.79,52.84,788
20181206,16:53:00,52.83,53.0,52.78,52.93,263
20181206,16:54:00,52.95,53.0,52.53,52.53,398
20181206,16:55:00,52.6,53.2,52.58,53.19,412
20181206,16:56:00,53.2,53.63,53.17,53.56,1073
20181206,16:57:00,53.54,53.74,53.33,53.61,636
