day,price
1,447942
2,436635
3,433179
4,435764
5,432322
6,418040
7,408710
8,413612
9,420518
10,418699
11,413950
12,424388
13,428210
14,427632
15,425539
16,430036
17,436161
18,408184
19,379604
20,380056
21,375754
22,369214
23,381049
24,389376
25,397225
26,385642
27,380441
28,368810
29,384036
30,396764
31,411945
32,399161
33,392784
34,393085
35,395165
36,406685
37,403876
38,385758
39,388997
40,385580
41,376951
42,352524
43,354608
44,349870
45,353913
46,355001
47,354910
48,356961
49,356604
50,346181
51,339170
52,341210
53,334902
54,334896
55,327990
56,325509
57,326198
58,323763
59,327961
60,318936
61,301291
62,306183
63,309552
64,311887
65,306354
66,298420
67,302484
68,301348
69,311179
70,304082
71,309965
72,311021
73,307408
74,300720
75,307756
76,310631
77,312053
78,313182
79,304364
80,315570
81,304027
82,304107
83,306502
84,296432
85,290984
86,283638
87,281704
88,277399
89,278546
90,278050
91,287971
92,296689
93,290517
94,280204
95,282403
96,284127
97,279787
98,271834
99,267017
100,261434
101,262638
102,259134
103,256640
104,251337
105,241852
106,240944
107,237924
108,241018
109,238928
110,236081
111,226410
112,224840
113,219852
114,218891
115,217088
116,214516
117,210612
118,205302
119,209080
120,209490
121,209839
122,211502
123,207227
124,210783
125,211002
126,207946
127,210142
128,203551
129,197193
130,195137
131,186643
132,188901
133,189194
134,185251
135,189971
136,194310
137,194521
138,198289
139,201103
140,204998
141,201095
142,194552
143,196184
144,201839
145,192755
146,196817
147,202331
148,197980
149,198346
150,195542
151,195731
152,197038
153,191350
154,181482
155,174756
156,173787
157,175409
158,173728
159,169143
160,165698
161,165869
162,166075
163,167299
164,167734
165,166426
166,171340
167,167082
168,165124
169,164518
170,164638
171,167185
172,167098
173,164530
174,164078
175,163929
176,159774
177,163076
178,160369
179,158945
180,158142
181,154972
182,155447
183,155378
184,153652
185,153727
186,153344
187,150323
188,150654
189,149764
190,149948
191,149918
192,149898
193,150606
194,150900
195,153563
196,155391
197,155011
198,151950
199,151018
200,149419
201,150783
202,146072
203,146317
204,144611
205,139956
206,141598
207,143207
208,146174
209,145052
210,143978
211,141440
212,139632
213,138356
214,136705
215,132274
216,126272
217,125487
218,119436
219,119701
220,120302
221,121321
222,119274
223,116251
224,117399
225,117615
226,117122
227,118250
228,118321
229,122758
230,122182
231,120519
232,118482
233,120733
234,120172
235,122542
236,125435
237,121155
238,120674
239,122543
240,124681
241,124280
242,125134
243,125145
244,128039
245,130104
246,129442
247,128791
248,131362
249,135649
250,135314
251,131878
252,133642
253,138887
254,133433
255,134411
256,136145
257,137722
258,135932
259,131004
260,127298
261,127675
262,126085
263,122553
264,128702
265,136441
266,144070
267,143604
268,137979
269,141561
270,133891
271,137900
272,132888
273,135548
274,135548
275,142362
276,141148
277,136968
278,135719
279,130381
280,128738
281,129321
282,127460
283,132216
284,132988
285,140281
286,143541
287,141208
288,136050
289,130049
290,127715
291,125990
292,123375
293,122719
294,123777
295,119807
296,120258
297,121347
298,119129
299,118243
300,118212
301,116057
302,114260
303,114837
304,114053
305,114225
306,110507
307,109239
308,107536
309,105926
310,107656
311,107757
312,105803
313,105701
314,109534
315,111254
316,111456
317,107581
318,109074
319,109866
320,108390
321,107581
322,109373
323,110364
324,106455
325,105164
326,103849
327,102273
328,101029
329,99894
330,99749
331,98092
332,97236
333,96619
334,95185
335,95776
336,96359
337,95391
338,94079
339,95360
340,96461
341,95989
342,96157
343,97762
344,98404
345,99250
346,96025
347,95207
348,94233
349,95869
350,94712
351,98374
352,103216
353,102452
354,101668
355,101437
356,101549
357,101749
358,101909
359,102498
360,101546
361,102250
362,101083
363,101383
364,102148
365,100850
366,99755
367,99686
368,98494
369,98104
370,98634
371,98890
372,98576
373,97481
374,97955
375,98159
376,96027
377,97321
378,95833
379,94596
380,93807
381,92407
382,90522
383,89158
384,88776
385,90012
386,93096
387,95817
388,95639
389,98324
390,98061
391,99218
392,100026
393,96551
394,96344
395,96744
396,95634
397,98921
398,98528
399,95769
400,94862
401,93678
402,96783
403,94715
404,93739
405,93343
406,90660
407,87032
408,86477
409,86021
410,86405
411,84941
412,82999
413,80344
414,81347
415,80902
416,80647
417,78540
418,76217
419,76505
420,75886
421,75463
422,75527
423,76309
424,76327
425,76663
426,75808
427,74732
428,74862
429,74803
430,75428
431,75355
432,74828
433,74898
434,74541
435,73576
436,73251
437,73895
438,73678
439,73028
440,72054
441,71416
442,70010
443,71219
444,70543
445,70527
446,70989
447,69107
448,68466
449,68147
450,66923
451,65685
452,64622
453,63821
454,64544
455,64381
456,65166
457,66061
458,65221
459,67303
460,68404
461,67437
462,66300
463,64704
464,63503
465,62667
466,63088
467,62868
468,63551
469,63398
470,63462
471,63990
472,62442
473,61767
474,61574
475,62661
476,61848
477,62134
478,60946
479,60279
480,59737
481,58235
482,58225
483,57664
484,57124
485,57990
486,57487
487,57598
488,57659
489,58410
490,58848
491,58232
492,58605
493,58062
494,57472
495,56656
496,56625
497,55813
498,56016
499,56322
500,56585
501,55732
502,55812
503,55445
504,55493
505,55404
506,54254
507,53961
508,54394
509,54225
510,53932
511,53360
512,52954
513,53900
514,54457
515,55293
516,55682
517,55531
518,55702
519,53932
520,53889
521,53137
522,53989
523,53819
524,53718
525,53036
526,52700
527,52351
528,53287
529,52524
530,53051
531,52831
532,52180
533,52285
534,51925
535,51727
536,53117
537,55618
538,55339
539,54664
540,60125
541,60992
542,61947
543,65707
544,65106
545,66982
546,64307
547,62542
548,68282
549,66878
550,64063
551,62438
552,66105
553,67629
554,69399
555,71601
556,72327
557,74927
558,81170
559,82742
560,69252
561,71374
562,72079
563,71004
564,66944
565,67305
566,66935
567,66359
568,68006
569,68044
570,62264
571,60873
572,59707
573,62004
574,61999
575,62717
576,62757
577,61598
578,63292
579,68601
580,70731
581,70141
582,69239
583,65548
584,67691
585,69250
586,64176
587,62401
588,61965
589,63014
590,61096
591,61670
592,63163
593,61910
594,61332
595,62238
596,62748
597,62544
598,61888
599,62277
600,62559
601,60173
602,59604
603,56649
604,56232
605,55367
606,55042
607,54564
608,55613
609,55082
610,53940
611,53156
612,53806
613,53449
614,52630
615,51554
616,51866
617,54041
618,54642
619,54269
620,54463
621,51576
622,50670
623,51398
624,51196
625,50688
626,50468
627,49483
628,50818
629,50970
630,49280
631,48249
632,48388
633,48251
634,48060
635,48915
636,48960
637,46479
638,46066
639,45979
640,45122
641,43894
642,43307
643,42354
644,41780
645,40779
646,41324
647,41127
648,40893
649,40129
650,39153
651,38509
652,37565
653,36736
654,36915
655,37041
656,36779
657,37577
658,37823
659,37554
660,36276
661,36397
662,35732
663,35825
664,36106
665,35948
666,35177
667,34876
668,34754
669,35008
670,34391
671,34622
672,34947
673,35346
674,37388
675,36067
676,34656
677,34428
678,35163
679,34589
680,34705
681,34968
682,35612
683,35666
684,34771
685,34396
686,33820
687,33964
688,34421
689,34526
690,33614
691,33505
692,33751
693,34234
694,33330
695,32479
696,32770
697,33117
698,33116
699,32920
700,33691
701,33324
702,33193
703,32800
704,30543
705,29997
706,29565
707,29589
708,29942
709,29087
710,29459
711,28565
712,28245
713,29316
714,29397
715,29319
716,28857
717,28413
718,28055
719,27934
720,27958
721,27557
722,27186
723,27362
724,27890
725,28375
726,27325
727,26504
728,26313
729,26328
730,25878
731,25614
732,25429
733,26379
734,26106
735,32582
736,29970
737,31282
738,33093
739,34641
740,32417
741,31854
742,30688
743,30648
744,30121
745,32986
746,34195
747,34374
748,35441
749,33276
750,32063
751,29610
752,29792
753,29766
754,29832
755,30891
756,32531
757,32320
758,32035
759,32658
760,31325
761,30862
762,30495
763,30347
764,29273
765,30249
766,29609
767,29148
768,27818
769,28188
770,28166
771,27958
772,27966
773,28390
774,28373
775,28081
776,28170
777,27979
778,28746
779,28759
780,28334
781,28131
782,28207
783,28388
784,28676
785,28326
786,29196
787,28553
788,29063
789,29227
790,28938
791,29146
792,28795
793,28371
794,28449
795,28346
796,29224
797,28833
798,28515
799,28101
800,28046
801,27895
802,28108
803,28293
804,29249
805,31089
806,30343
807,29729
808,30741
809,29958
810,29110
811,28670
812,28721
813,28104
814,29788
815,29888
816,31218
817,31659
818,32874
819,30938
820,30944
821,31976
822,31221
823,30770
824,31258
825,30641
826,30721
827,32835
828,32509
829,31832
830,31957
831,32350
832,32597
833,33622
834,33264
835,34286
836,33966
837,35147
838,34992
839,37468
840,38610
841,37557
842,39883
843,41894
844,40140
845,43475
846,42528
847,39655
848,39205
849,44719
850,48044
851,46852
852,48887
853,51003
854,55019
855,53521
856,49214
857,47970
858,45656
859,46455
860,44716
861,46826
862,50717
863,48695
864,49153
865,47651
866,45845
867,48488
868,48128
869,51164
870,52580
871,49977
872,50344
873,50105
874,50124
875,51300
876,44858
877,43138
878,43690
879,41733
880,41425
881,41794
882,40168
883,39606
884,40169
885,39180
886,40068
887,40565
888,40895
889,38699
890,39214
891,37258
892,37358
893,39777
894,38993
895,40987
896,42834
897,42311
898,42346
899,45247
900,44633
901,43269
902,44130
903,43725
904,41943
905,41230
906,42646
907,39279
908,44854
909,46117
910,47914
911,45489
912,50480
913,50263
914,53148
915,53933
916,49717
917,50506
918,53798
919,53023
920,53821
921,52354
922,53613
923,51732
924,54552
925,53283
926,49192
927,49692
928,48521
929,48786
930,49233
931,46906
932,44531
933,45161
934,44216
935,46581
936,45979
937,46208
938,47560
939,49164
940,47423
941,47133
942,46646
943,44636
944,43046
945,42737
946,44098
947,44339
948,45050
949,46093
950,45696
951,47591
952,46607
953,48885
954,48373
955,46807
956,48971
957,46876
958,47195
959,46727
960,50395
961,50868
962,51574
963,49163
964,49223
965,49899
966,48882
967,48905
968,49027
969,48297
970,47026
971,48699
972,51447
973,52819
974,52022
975,52943
976,51749
977,51077
978,49302
979,49992
980,49517
981,48905
982,48587
983,48541
984,47471
985,46210
986,45468
987,45845
988,47146
989,49850
990,49826
991,48970
992,47753
993,51072
994,51040
995,52495
996,49555
997,51013
998,51191
999,54248
1000,54562
1001,49895
1002,52198
1003,51411
1004,50226
1005,50227
1006,51358
1007,50994
1008,51021
1009,50103
1010,46705
1011,47510
1012,47084
1013,46846
1014,45348
1015,45107
1016,46234
1017,45429
1018,46777
1019,46594
1020,45661
1021,42948
1022,43096
1023,41563
1024,41011
1025,41349
1026,40912
1027,39858
1028,38859
1029,38557
1030,39050
1031,39931
1032,37535
1033,37061
1034,37426
1035,35972
1036,37656
1037,37681
1038,38026
1039,36742
1040,36580
1041,35775
1042,34858
1043,35199
1044,34506
1045,36344
1046,38648
1047,37951
1048,38829
1049,37654
1050,37280
1051,35030
1052,34173
1053,36167
1054,36856
1055,36999
1056,35043
1057,38968
1058,38272
1059,38326
1060,39488
1061,38939
1062,37397
1063,36878
1064,36803
1065,37890
1066,37226
1067,38112
1068,38126
1069,38351
1070,36726
1071,39834
1072,39617
1073,39107
1074,39007
1075,41022
1076,40680
1077,41047
1078,38687
1079,40721
1080,40989
1081,41922
1082,43017
1083,43411
1084,41084
1085,40300
1086,39968
1087,38944
1088,37458
1089,37418
1090,39206
1091,39044
1092,40271
1093,37854
1094,36157
1095,37884
1096,38118
1097,37956
1098,36152
1099,35125
1100,36599
1101,35554
1102,35040
1103,36404
1104,37090
1105,35836
1106,35383
1107,35879
1108,37019
1109,36244
1110,35853
1111,34931
1112,36487
1113,36112
1114,35276
1115,34397
1116,35164
1117,35648
1118,35208
1119,37821
1120,37051
1121,35828
1122,38353
1123,37631
1124,37931
1125,38251
1126,40565
1127,39806
1128,42082
1129,40048
1130,39137
1131,41868
1132,45508
1133,44984
1134,43616
1135,44761
1136,51024
1137,47995
1138,49564
1139,52862
1140,54606
1141,56548
1142,61926
1143,65390
1144,71778
1145,74766
1146,69174
1147,71159
1148,81026
1149,82591
1150,89487
1151,84655
1152,82427
1153,90951
1154,94020
1155,104634
1156,110647
1157,101224
1158,105874
1159,104531
1160,104158
1161,101002
1162,92266
1163,98121
1164,109378
1165,106729
1166,108814
1167,111935
1168,120496
1169,112649
1170,121068
1171,127609
1172,129762
1173,142467
1174,149992
1175,142240
1176,133254
1177,129833
1178,122005
1179,121855
1180,137352
1181,133024
1182,132679
1183,138726
1184,135430
1185,129695
1186,131679
1187,129332
1188,130900
1189,128997
1190,130071
1191,123850
1192,123422
1193,119324
1194,112408
1195,108340
1196,109980
1197,108892
1198,107687
1199,110453
1200,105736
1201,100505
1202,93059
1203,94846
1204,93594
1205,101583
1206,101439
1207,104939
1208,113385
1209,110940
1210,120421
1211,119601
1212,115790
1213,130627
1214,122188
1215,120852
1216,119991
1217,114103
1218,108459
1219,101603
1220,103454
1221,107089.92
1222,107713.62
1223,103327.58
1224,104204.41
1225,102820.87
1226,101607.39
1227,102223.05
1228,108644.38
1229,106741
1230,104687.38
1231,106644.01
1232,111256.09
1233,113274.62
1234,112625.85
1235,117918.44
1236,123809.82
1237,113034.45
1238,110618.04
1239,111979.17
1240,112852.14
1241,120230.1
1242,121411.58
1243,112254.19
1244,117425.1
1245,116246.26
1246,117872.04
1247,108872.1
1248,108554.54
1249,106724.03
1250,108209.82
1251,111953.59
1252,107130.42
1253,106220.65
1254,113319.17
1255,121922.27
1256,112675.11
1257,114290.4
1258,111327.64
1259,108163.16
1260,111763.03
1261,119650.19
1262,117745.57
1263,115029.75
1264,113095.17
1265,110712.04
1266,111555.86
1267,111939.36
1268,109472.99
1269,104842.23
1270,104026.05
1271,103884.1
1272,101783.62
1273,97993.85
1274,96004.08
1275,103419.34
1276,99345.26
1277,100708.13
1278,98999.61
1279,99182.42
1280,101549.93
1281,100340.08
1282,96055.54
1283,97135.76
1284,95747.28
1285,91332.66
1286,91173.87
1287,87969.36
1288,89169.27
1289,85501.95
1290,86061.17
1291,85446.61
1292,88296.54
1293,84577.26
1294,86670.96
1295,80334.66
1296,79065.5
1297,79324.18
1298,83704.13
1299,85035.88
1300,81107.44
1301,83538.84
1302,82148.68
1303,79289.55
1304,77355.36
1305,77620.58
1306,81715.67
1307,80752.07
1308,80404.01
1309,79797.57
1310,77048.58
1311,77508.72
1312,75775.76
1313,74512.5
1314,78137.8
1315,80840.79
1316,81463.12
1317,80837.47
1318,78371.2
1319,81740.85
1320,80116.31
1321,76832.65
1322,73337.78
1323,72074.8
1324,69502.63
1325,70713.6
1326,70079.17
1327,73932.07
1328,73251.63
1329,76064.3
1330,77131.18
1331,76071.68
1332,76435.27
1333,72826.22
1334,71488.29
1335,69301.81
1336,68473.94
1337,68483.51
1338,66957.27
1339,65656.84
1340,64123.32
1341,61912.25
1342,61402.59
1343,62233.16
1344,64413.45
1345,65139.28
1346,63661.05
1347,64269.62
1348,62617.27
1349,62178.35
1350,61882.61
1351,62583.59
1352,60520.89
1353,60548.73
1354,61727.18
1355,60938.47
1356,59753.14
1357,60720.51
1358,64382.18
1359,62904.85
1360,60968.23
1361,59799.35
1362,58911.48
1363,58969.7
1364,59625.31
1365,60678.06
1366,59847.39
1367,60436.33
1368,61308.76
1369,64282.17
1370,65157.03
1371,62142.79
1372,60068.54
1373,58099.16
1374,56432.94
1375,53799.93
1376,54483.07
1377,53131.39
1378,53277.29
1379,50921.58
1380,51210.61
1381,52471.6
1382,52395.41
1383,51302.19
1384,51730.54
1385,52704.4
1386,52870.53
1387,50981.24
1388,50976.85
1389,51520.37
1390,53815.03
1391,53909.35
1392,52102.6
1393,50892.91
1394,50310.11
1395,49706.96
1396,48701.27
1397,47429.1
1398,46982.53
1399,46569.14
1400,45512.79
1401,46158.58
1402,44912.92
1403,44713.2
1404,44712.4
1405,43106.51
1406,43821.91
1407,44724.64
1408,44835.02
1409,48019.46
1410,45404.61
1411,49878.19
1412,50322.03
1413,50579.85
1414,49902.92
1415,47730.81
1416,46246.88
1417,43507.64
1418,43753.21
1419,43886.56
1420,45847.34
1421,45100.91
1422,44315.79
1423,44071.87
1424,42419.51
1425,42946.1
1426,42126.1
1427,40000.2
1428,39679.08
1429,39128.31
1430,41805.98
1431,41860.13
1432,40251.51
1433,39811.99
1434,40668.76
1435,39748.58
1436,39587.18
1437,40658.13
1438,40338.93
1439,39714.79
1440,39475.81
1441,38678.92
1442,38269.61
1443,36525.99
1444,37047.34
1445,36520.5
1446,35265.95
1447,34383.34
1448,34085.9
1449,33643.27
1450,33340.69
1451,33534.52
1452,34059.79
1453,34979.19
1454,33686.85
1455,33010.22
1456,31821.36
1457,31282.13
1458,30461.19
1459,29999.51
1460,30832.81
1461,30265.82
1462,29588.81
1463,30359.16
1464,28948.39
1465,28746.38
1466,30419.34
1467,33081.97
1468,32588.48
1469,32894.91
1470,31898.68
1471,32209.42
1472,32974.39
1473,31130.57
1474,29969.03
1475,30068.15
1476,33582.81
1477,33992.69
1478,34429.69
1479,33601.79
1480,33484.22
1481,32601.65
1482,32542.66
1483,30802.57
1484,29692.62
1485,28478.14
1486,27901.4
1487,27377.11
1488,28261.33
1489,27648.54
1490,27546.42
1491,26976.5
1492,26452.12
1493,26176.9
1494,25929.65
1495,25865.38
1496,24691.49
1497,24336.9
1498,24395.18
1499,24556.97
1500,24740.67
1501,24544.77
1502,24563.35
1503,23867.98
1504,22953.97
1505,22612.05
1506,23052.34
1507,22745.56
1508,22264.17
1509,22736.35
1510,22986.12
1511,22747.31
1512,22284.84
1513,21900.54
1514,21800.25
1515,21731.09
1516,20908.27
1517,20337.81
1518,20703.11
1519,20347.9
1520,20114.3
1521,20080.64
1522,20171.91
1523,19697.85
1524,19697.5
1525,20494.32
1526,19994.63
1527,19043.07
1528,19145.11
1529,19096.14
1530,18957.59
